arm_id,arm_tech,arm_type,arm_class,force_mnax,attack,defence,hp,speed,shoot_range,attack_speed,attack_plus,telent_id,telent_value,telent_range,levelup_resource,recruit_resource,maintenance_resource,collect_speed,arm_need,soldiers_need,levy_time,city_camp,city_camp_type,warfare,arm_load,first_attack,arm_image,arm_dodge,arm_crit,arm_crit_damege,arm_recover_need,arm_recoer_time,arm_attack_type,arm_def_type,ai_id,arm_attack_image,view,Formation_id,time_hit,movesound
1201101,1210001,1201001,1201000,200,7,4,29,0.8,1,1,1,0,0,{},{},"{""1101001"":20,""1101002"":40,""1101003"":40,""1101004"":1}","{""1101001"":0.005}",0.2,"{""1902002"":1}",0,0.05,1902002,1,6,230,1,12010011,0,0,1,"{""1101001"":16,""1101002"":32,""1101003"":32}",0.04,1,1,5000101,1,5,11,250,yidong_bubing
1201102,1210001,1201001,1201000,200,9,5,34,0.8,1,1,1,0,0,{},"{""1101001"":5700,""1101002"":11400,""1101003"":11400,""1102003"":14440,""1102001"":14440}","{""1101001"":15,""1101002"":30,""1101003"":30,""1102003"":38,""1102001"":38,""1101004"":1}","{""1101001"":0.007}",0.3,"{""1902002"":4}",1201101,0.083,1902002,1,9,346,1,12010011,0,0,1,"{""1101001"":12,""1101002"":24,""1101003"":24,""1102003"":30,""1102001"":30}",0.067,1,1,5000101,1,5,12,250,yidong_bubing
1201103,1210001,1201001,1201000,200,9,5,36,0.8,1,1,1,0,0,{},"{""1101001"":26220,""1101002"":51300,""1101003"":51300,""1102003"":64980,""1102001"":64980}","{""1101001"":23,""1101002"":45,""1101003"":45,""1102003"":57,""1102001"":57,""1101004"":1}","{""1101001"":0.009}",0.4,"{""1902002"":7}",1201102,0.133,1902002,1,13,461,1,12010011,0,0,1,"{""1101001"":18,""1101002"":36,""1101003"":36,""1102003"":46,""1102001"":46}",0.107,1,1,5000101,1,5,13,250,yidong_bubing
1201104,1210002,1201001,1201000,200,10,6,37,0.8,1,1,1,0,0,{},"{""1101001"":77520,""1101002"":155040,""1101003"":155040,""1102003"":193800,""1102001"":193800}","{""1101001"":34,""1101002"":68,""1101003"":68,""1102003"":85,""1102001"":85,""1101004"":1}","{""1101001"":0.012}",0.5,"{""1902002"":10}",1201103,0.217,1902002,1,18,576,1,12010011,0,0,1,"{""1101001"":27,""1101002"":54,""1101003"":54,""1102003"":68,""1102001"":68}",0.173,1,1,5000101,1,5,14,250,yidong_bubing
1201105,1210002,1201001,1201000,200,12,7,42,0.8,1,1,1,0,0,{},"{""1101001"":193800,""1101002"":383800,""1101003"":383800,""1102003"":482600,""1102001"":482600}","{""1101001"":51,""1101002"":101,""1101003"":101,""1102003"":127,""1102001"":127,""1101004"":1}","{""1101001"":0.016}",0.6,"{""1902002"":13}",1201104,0.383,1902002,1,26,691,1,12010011,0,0,1,"{""1101001"":41,""1101002"":81,""1101003"":81,""1102003"":102,""1102001"":102}",0.307,1,1,5000101,1,5,15,250,yidong_bubing
1201106,1210002,1201001,1201000,200,15,9,48,0.8,1,1,1,0,0,{},"{""1101001"":433200,""1101002"":860700,""1101003"":860700,""1102003"":1077300,""1102001"":1077300}","{""1101001"":76,""1101002"":151,""1101003"":151,""1102003"":189,""1102001"":189,""1101004"":1}","{""1101001"":0.022}",0.7,"{""1902002"":16}",1201105,0.633,1902002,1,36,806,1,12010011,0,0,1,"{""1101001"":61,""1101002"":121,""1101003"":121,""1102003"":151,""1102001"":151}",0.507,1,1,5000101,1,5,16,250,yidong_bubing
1201107,1210003,1201001,1201000,200,16,9,48,0.8,1,1,1,0,0,{},"{""1101001"":909720,""1101002"":1819440,""1101003"":1819440,""1102003"":2274300,""1102001"":2274300}","{""1101001"":114,""1101002"":228,""1101003"":228,""1102003"":285,""1102001"":285,""1101004"":1}","{""1101001"":0.03}",0.8,"{""1902002"":19}",1201106,0.95,1902002,1,51,922,1,12010011,0,0,1,"{""1101001"":91,""1101002"":182,""1101003"":182,""1102003"":228,""1102001"":228}",0.76,1,1,5000101,1,5,17,250,yidong_bubing
1201108,1210003,1201001,1201000,200,20,12,53,0.8,1,1,1,0,0,{},"{""1101001"":1819440,""1101002"":3638880,""1101003"":3638880,""1102003"":4553920,""1102001"":4553920}","{""1101001"":171,""1101002"":342,""1101003"":342,""1102003"":428,""1102001"":428,""1101004"":1}","{""1101001"":0.04}",0.9,"{""1902002"":22}",1201107,1.433,1902002,1,71,1037,1,12010011,0,0,1,"{""1101001"":137,""1101002"":274,""1101003"":274,""1102003"":342,""1102001"":342}",1.147,1,1,5000101,1,5,18,250,yidong_bubing
1201109,1210003,1201001,1201000,200,24,14,58,0.8,1,1,1,0,0,{},"{""1101001"":3515760,""1101002"":7031520,""1101003"":7031520,""1102003"":8796240,""1102001"":8796240}","{""1101001"":257,""1101002"":514,""1101003"":514,""1102003"":643,""1102001"":643,""1101004"":1}","{""1101001"":0.053}",1,"{""1902002"":25}",1201108,2.133,1902002,1,101,1152,1,12010011,0,0,1,"{""1101001"":206,""1101002"":411,""1101003"":411,""1102003"":514,""1102001"":514}",1.707,1,1,5000101,1,5,19,250,yidong_bubing
1201110,1210004,1201001,1201000,200,30,18,63,0.8,1,1,1,0,0,{},"{""1101001"":6583500,""1101002"":13149900,""1101003"":13149900,""1102003"":16450200,""1102001"":16450200}","{""1101001"":385,""1101002"":769,""1101003"":769,""1102003"":962,""1102001"":962,""1101004"":1}","{""1101001"":0.07}",1.2,"{""1902002"":30}",1201109,3.2,1902002,1,143,1382,1,12010011,0,0,1,"{""1101001"":308,""1101002"":615,""1101003"":615,""1102003"":770,""1102001"":770}",2.56,1,1,5000101,1,5,20,250,yidong_bubing
1201201,1220001,1201002,1201000,200,5,5,43,0.7,1,1,1,0,0,{},{},"{""1101001"":20,""1101002"":40,""1101003"":40,""1101004"":1}","{""1101001"":0.008}",0.2,"{""1902002"":1}",0,0.033,1902002,2,6,230,1,12010021,0,0,1,"{""1101001"":16,""1101002"":32,""1101003"":32}",0.027,1,2,5000101,1,5,1,200,yidong_bubing
1201202,1220001,1201002,1201000,200,6,6,50,0.7,1,1,1,0,0,{},"{""1101001"":5700,""1101002"":11400,""1101003"":11400,""1102001"":14440,""1102004"":14440}","{""1101001"":15,""1101002"":30,""1101003"":30,""1102001"":38,""1102004"":38,""1101004"":1}","{""1101001"":0.011}",0.3,"{""1902002"":4}",1201201,0.067,1902002,2,9,346,1,12010021,0,0,1,"{""1101001"":12,""1101002"":24,""1101003"":24,""1102001"":30,""1102004"":30}",0.053,1,2,5000101,1,5,2,200,yidong_bubing
1201203,1220001,1201002,1201000,200,6,7,50,0.7,1,1,1,0,0,{},"{""1101001"":26220,""1101002"":51300,""1101003"":51300,""1102001"":64980,""1102004"":64980}","{""1101001"":23,""1101002"":45,""1101003"":45,""1102001"":57,""1102004"":57,""1101004"":1}","{""1101001"":0.015}",0.4,"{""1902002"":7}",1201202,0.133,1902002,2,13,461,1,12010021,0,0,1,"{""1101001"":18,""1101002"":36,""1101003"":36,""1102001"":46,""1102004"":46}",0.107,1,2,5000101,1,5,3,200,yidong_bubing
1201204,1220002,1201002,1201000,200,7,7,52,0.7,1,1,1,0,0,{},"{""1101001"":77520,""1101002"":155040,""1101003"":155040,""1102001"":193800,""1102004"":193800}","{""1101001"":34,""1101002"":68,""1101003"":68,""1102001"":85,""1102004"":85,""1101004"":1}","{""1101001"":0.02}",0.5,"{""1902002"":10}",1201203,0.233,1902002,2,18,576,1,12010021,0,0,1,"{""1101001"":27,""1101002"":54,""1101003"":54,""1102001"":68,""1102004"":68}",0.187,1,2,5000101,1,5,4,200,yidong_bubing
1201205,1220002,1201002,1201000,200,8,9,57,0.7,1,1,1,0,0,{},"{""1101001"":193800,""1101002"":387600,""1101003"":387600,""1102001"":482600,""1102004"":482600}","{""1101001"":51,""1101002"":102,""1101003"":102,""1102001"":127,""1102004"":127,""1101004"":1}","{""1101001"":0.026}",0.6,"{""1902002"":13}",1201204,0.383,1902002,2,25,691,1,12010021,0,0,1,"{""1101001"":41,""1101002"":82,""1101003"":82,""1102001"":102,""1102004"":102}",0.307,1,2,5000101,1,5,5,200,yidong_bubing
1201206,1220002,1201002,1201000,200,10,11,66,0.7,1,1,1,0,0,{},"{""1101001"":433200,""1101002"":866400,""1101003"":866400,""1102001"":1083000,""1102004"":1083000}","{""1101001"":76,""1101002"":152,""1101003"":152,""1102001"":190,""1102004"":190,""1101004"":1}","{""1101001"":0.035}",0.7,"{""1902002"":16}",1201205,0.633,1902002,2,36,806,1,12010021,0,0,1,"{""1101001"":61,""1101002"":122,""1101003"":122,""1102001"":152,""1102004"":152}",0.507,1,2,5000101,1,5,6,200,yidong_bubing
1201207,1220003,1201002,1201000,200,11,12,64,0.7,1,1,1,0,0,{},"{""1101001"":909720,""1101002"":1819440,""1101003"":1819440,""1102001"":2274300,""1102004"":2274300}","{""1101001"":114,""1101002"":228,""1101003"":228,""1102001"":285,""1102004"":285,""1101004"":1}","{""1101001"":0.047}",0.8,"{""1902002"":19}",1201206,0.95,1902002,2,51,922,1,12010021,0,0,1,"{""1101001"":91,""1101002"":182,""1101003"":182,""1102001"":228,""1102004"":228}",0.76,1,2,5000101,1,5,7,200,yidong_bubing
1201208,1220003,1201002,1201000,200,13,14,71,0.7,1,1,1,0,0,{},"{""1101001"":1819440,""1101002"":3638880,""1101003"":3638880,""1102001"":4553920,""1102004"":4553920}","{""1101001"":171,""1101002"":342,""1101003"":342,""1102001"":428,""1102004"":428,""1101004"":1}","{""1101001"":0.065}",0.9,"{""1902002"":22}",1201207,1.433,1902002,2,71,1037,1,12010021,0,0,1,"{""1101001"":137,""1101002"":274,""1101003"":274,""1102001"":342,""1102004"":342}",1.147,1,2,5000101,1,5,8,200,yidong_bubing
1201209,1220003,1201002,1201000,200,16,18,77,0.7,1,1,1,0,0,{},"{""1101001"":3502080,""1101002"":7004160,""1101003"":7004160,""1102001"":8755200,""1102004"":8755200}","{""1101001"":256,""1101002"":512,""1101003"":512,""1102001"":640,""1102004"":640,""1101004"":1}","{""1101001"":0.087}",1,"{""1902002"":25}",1201208,2.133,1902002,2,101,1152,1,12010021,0,0,1,"{""1101001"":205,""1101002"":410,""1101003"":410,""1102001"":512,""1102004"":512}",1.707,1,2,5000101,1,5,9,200,yidong_bubing
