arm_type,anti_relative
1201001,"{""1202001"":1.2,""1201001"":1,""1203001"":1,""1201002"":1,""1202002"":1.2,""1203002"":1.2,""1204001"":1.6,""1206000"":1,""1205000"":1.2,""1207000"":1}"
1202001,"{""1202001"":1,""1201001"":1,""1203001"":1.2,""1201002"":1,""1202002"":1,""1203002"":1.1,""1204001"":0.8,""1206000"":0.8,""1205000"":0.9,""1207000"":1}"
1203001,"{""1202001"":1,""1201001"":1.2,""1203001"":1,""1201002"":0.8,""1202002"":1,""1203002"":1,""1204001"":0.8,""1206000"":1,""1205000"":1,""1207000"":1}"
1201002,"{""1202001"":0.9,""1201001"":1,""1203001"":1,""1201002"":1,""1202002"":1,""1203002"":1,""1204001"":0.8,""1206000"":1,""1205000"":0.8,""1207000"":1}"
1202002,"{""1202001"":1,""1201001"":1,""1203001"":1.2,""1201002"":1.1,""1202002"":1,""1203002"":1,""1204001"":0.9,""1206000"":0.8,""1205000"":0.8,""1207000"":1}"
1203002,"{""1202001"":1.2,""1201001"":1.1,""1203001"":1,""1201002"":0.8,""1202002"":1.2,""1203002"":1,""1204001"":0.7,""1206000"":0.9,""1205000"":0.7,""1207000"":1}"
1204001,"{""1202001"":0.25,""1201001"":0.25,""1203001"":0.25,""1201002"":0.3,""1202002"":0.25,""1203002"":0.2,""1204001"":0.4,""1206000"":0.25,""1205000"":0.6,""1207000"":1}"
1205000,"{""1202001"":0.8,""1201001"":1,""1203001"":1,""1201002"":0.8,""1202002"":0.8,""1203002"":0.8,""1204001"":1,""1206000"":1,""1205000"":1,""1207000"":1}"
1206000,"{""1202001"":0.8,""1201001"":1,""1203001"":1,""1201002"":0.75,""1202002"":0.9,""1203002"":0.9,""1204001"":1.2,""1206000"":1,""1205000"":0.8,""1207000"":1}"
1207000,"{""1202001"":1,""1201001"":1,""1203001"":1,""1201002"":1,""1202002"":1,""1203002"":1,""1204001"":1,""1206000"":1,""1205000"":1,""1207000"":1}"
