building_level,building_id,arm_type,building_upgrade_condition,building_upgrade_cost,building_upgrade_time,building_dismantling_time,building_combat_attributes,building_image
1,1205001,1205000,"{""1906001"":0}","{""1101001"":38776,""1101002"":29082,""1101003"":29082}",1,,1205500,
2,1205001,1205000,"{""1906001"":2}","{""1101001"":38776,""1101002"":29082,""1101003"":29082}",2,,1205501,
3,1205001,1205000,"{""1906001"":3}","{""1101001"":38776,""1101002"":29082,""1101003"":29082}",3,,1205502,
4,1205001,1205000,"{""1906001"":4}","{""1101001"":77552,""1101002"":58164,""1101003"":58164}",4,,1205503,
5,1205001,1205000,"{""1906001"":5}","{""1101001"":155104,""1101002"":116328,""1101003"":116328}",5,,1205504,
6,1205001,1205000,"{""1906001"":6}","{""1101001"":387752,""1101002"":290814,""1101003"":290814}",6,,1205505,
7,1205001,1205000,"{""1906001"":7}","{""1101001"":697952,""1101002"":523464,""1101003"":523464}",7,,1205506,
8,1205001,1205000,"{""1906001"":8}","{""1101001"":1008152,""1101002"":756114,""1101003"":756114}",8,,1205507,
9,1205001,1205000,"{""1906001"":9}","{""1101001"":1357128,""1101002"":1017846,""1101003"":1017846}",9,,1205508,
10,1205001,1205000,"{""1906001"":10}","{""1101001"":1744876,""1101002"":1308657,""1101003"":1308657,""1102001"":560000,""1102002"":392000,""1102003"":504000,""1102004"":560000}",10,,1205509,
11,1205001,1205000,"{""1906001"":11}","{""1101001"":2171404,""1101002"":1628553,""1101003"":1628553,""1102001"":672000,""1102002"":470400,""1102003"":604800,""1102004"":672000}",11,,1205510,
12,1205001,1205000,"{""1906001"":12}","{""1101001"":2636704,""1101002"":1977528,""1101003"":1977528,""1102001"":806400,""1102002"":564480,""1102003"":725760,""1102004"":806400}",12,,1205511,
13,1205001,1205000,"{""1906001"":13}","{""1101001"":3140776,""1101002"":2355582,""1101003"":2355582,""1102001"":967680,""1102002"":677376,""1102003"":870912,""1102004"":967680}",13,,1205512,
14,1205001,1205000,"{""1906001"":14}","{""1101001"":3683628,""1101002"":2762721,""1101003"":2762721,""1102001"":1161216,""1102002"":812851,""1102003"":1045094,""1102004"":1161216}",14,,1205513,
15,1205001,1205000,"{""1906001"":15}","{""1101001"":4304028,""1101002"":3228021,""1101003"":3228021,""1102001"":1393459,""1102002"":975421,""1102003"":1254113,""1102004"":1393459}",15,,1205514,
16,1205001,1205000,"{""1906001"":16}","{""1101001"":4963204,""1101002"":3722403,""1101003"":3722403,""1102001"":1672151,""1102002"":1170505,""1102003"":1504936,""1102004"":1672151}",16,,1205515,
17,1205001,1205000,"{""1906001"":17}","{""1101001"":5699928,""1101002"":4274946,""1101003"":4274946,""1102001"":2006581,""1102002"":1404606,""1102003"":1805923,""1102004"":2006581}",17,,1205516,
18,1205001,1205000,"{""1906001"":18}","{""1101001"":8997212,""1101002"":6747909,""1101003"":6747909,""1102001"":2407897,""1102002"":1685527,""1102003"":2167108,""1102004"":2407897}",18,,1205517,
19,1205001,1205000,"{""1906001"":19}","{""1101001"":10128596,""1101002"":7596447,""1101003"":7596447,""1102001"":2889476,""1102002"":2022632,""1102003"":2600530,""1102004"":2889476}",19,,1205518,
20,1205001,1205000,"{""1906001"":20}","{""1101001"":11367736,""1101002"":8525802,""1101003"":8525802,""1102001"":3467371,""1102002"":2427158,""1102003"":3120636,""1102004"":3467371}",20,,1205519,
21,1205001,1205000,"{""1906001"":21}","{""1101001"":12660748,""1101002"":9495561,""1101003"":9495561,""1102001"":4160845,""1102002"":2912590,""1102003"":3744763,""1102004"":4160845}",21,,1205520,
22,1205001,1205000,"{""1906001"":22}","{""1101001"":14606812,""1101002"":10955109,""1101003"":10955109,""1102001"":4993014,""1102002"":3495108,""1102003"":4493716,""1102004"":4993014}",22,,1205521,
23,1205001,1205000,"{""1906001"":23}","{""1101001"":16173828,""1101002"":12130371,""1101003"":12130371,""1102001"":5991617,""1102002"":4194130,""1102003"":5392459,""1102004"":5991617}",23,,1205522,
24,1205001,1205000,"{""1906001"":24}","{""1101001"":17796804,""1101002"":13347603,""1101003"":13347603,""1102001"":7189940,""1102002"":5032956,""1102003"":6470951,""1102004"":7189940}",24,,1205523,
25,1205001,1205000,"{""1906001"":25}","{""1101001"":20447200,""1101002"":15335400,""1101003"":15335400,""1102001"":8627928,""1102002"":6039547,""1102003"":7765141,""1102004"":8627928}",25,,1205524,
26,1205001,1205000,"{""1906001"":26}","{""1101001"":22375080,""1101002"":16781310,""1101003"":16781310,""1102001"":10353514,""1102002"":7247456,""1102003"":9318169,""1102004"":10353514}",26,,1205525,
27,1205001,1205000,"{""1906001"":27}","{""1101001"":24361376,""1101002"":18271032,""1101003"":18271032,""1102001"":12424217,""1102002"":8696947,""1102003"":11181803,""1102004"":12424217}",27,,1205526,
28,1205001,1205000,"{""1906001"":28}","{""1101001"":27403516,""1101002"":20552637,""1101003"":20552637,""1102001"":14909060,""1102002"":10436336,""1102003"":13418164,""1102004"":14909060}",28,,1205527,
29,1205001,1205000,"{""1906001"":29}","{""1101001"":29757564,""1101002"":22318173,""1101003"":22318173,""1102001"":17890872,""1102002"":12523603,""1102003"":16101797,""1102004"":17890872}",29,,1205528,
30,1205001,1205000,"{""1906001"":30}","{""1101001"":31188560,""1101002"":23391420,""1101003"":23391420,""1102001"":21469046,""1102002"":15028324,""1102003"":19322156,""1102004"":21469046}",30,,1205529,
