camp_level,levelup_time,need_resource,perlevy_max,need,prosperity,demolition
1,0,{},500,"{""1909001"":0}",100,0
2,10,"{""1101001"":53692,""1101002"":40269,""1101003"":40269}",520,"{""1909001"":2}",160,0
3,10,"{""1101001"":69032,""1101002"":51774,""1101003"":51774}",540,"{""1909001"":3}",200,0
4,20,"{""1101001"":92040,""1101002"":69030,""1101003"":69030}",560,"{""1909001"":4}",240,0
5,30,"{""1101001"":134224,""1101002"":100668,""1101003"":100668}",580,"{""1909001"":5}",308,0
6,80,"{""1101001"":287624,""1101002"":215718,""1101003"":215718}",600,"{""1909001"":6}",355,0
7,130,"{""1101001"":460196,""1101002"":345147,""1101003"":345147}",620,"{""1909001"":7}",416,0
8,190,"{""1101001"":655780,""1101002"":491835,""1101003"":491835}",640,"{""1909001"":8}",484,0
9,260,"{""1101001"":870536,""1101002"":652902,""1101003"":652902}",660,"{""1909001"":9}",547,0
10,340,"{""1101001"":1108304,""1101002"":831228,""1101003"":831228,""1102001"":350000,""1102002"":245000,""1102003"":315000,""1102004"":350000}",680,"{""1909001"":10}",609,0
11,420,"{""1101001"":1372916,""1101002"":1029687,""1101003"":1029687,""1102001"":420000,""1102002"":294000,""1102003"":378000,""1102004"":420000}",700,"{""1909001"":11}",660,0
12,510,"{""1101001"":1660536,""1101002"":1245402,""1101003"":1245402,""1102001"":504000,""1102002"":352800,""1102003"":453600,""1102004"":504000}",720,"{""1909001"":12}",725,0
13,610,"{""1101001"":1978836,""1101002"":1484127,""1101003"":1484127,""1102001"":604800,""1102002"":423360,""1102003"":544320,""1102004"":604800}",740,"{""1909001"":13}",787,0
14,720,"{""1101001"":2323984,""1101002"":1742988,""1101003"":1742988,""1102001"":725760,""1102002"":508032,""1102003"":653184,""1102004"":725760}",760,"{""1909001"":14}",847,0
15,840,"{""1101001"":2703644,""1101002"":2027733,""1101003"":2027733,""1102001"":870912,""1102002"":609638,""1102003"":783821,""1102004"":870912}",780,"{""1909001"":15}",900,0
16,960,"{""1101001"":3110148,""1101002"":2332611,""1101003"":2332611,""1102001"":1045094,""1102002"":731566,""1102003"":940585,""1102004"":1045094}",800,"{""1909001"":16}",962,0
17,1100,"{""1101001"":3555004,""1101002"":2666253,""1101003"":2666253,""1102001"":1254113,""1102002"":877879,""1102003"":1128702,""1102004"":1254113}",820,"{""1909001"":17}",1022,0
18,1250,"{""1101001"":5661596,""1101002"":4246197,""1101003"":4246197,""1102001"":1504936,""1102002"":1053455,""1102003"":1354442,""1102004"":1504936}",840,"{""1909001"":18}",1080,0
19,1410,"{""1101001"":6378048,""1101002"":4783536,""1101003"":4783536,""1102001"":1805923,""1102002"":1264146,""1102003"":1625330,""1102004"":1805923}",860,"{""1909001"":19}",1142,0
20,1580,"{""1101001"":7148372,""1101002"":5361279,""1101003"":5361279,""1102001"":2167108,""1102002"":1516975,""1102003"":1950396,""1102004"":2167108}",880,"{""1909001"":20}",1205,0
21,1770,"{""1101001"":7972560,""1101002"":5979420,""1101003"":5979420,""1102001"":2600530,""1102002"":1820370,""1102003"":2340475,""1102004"":2600530}",900,"{""1909001"":21}",1263,0
22,1960,"{""1101001"":9194580,""1101002"":6895935,""1101003"":6895935,""1102001"":3120636,""1102002"":2184444,""1102003"":2808570,""1102004"":3120636}",920,"{""1909001"":22}",1323,0
23,2170,"{""1101001"":10162724,""1101002"":7622043,""1101003"":7622043,""1102001"":3744763,""1102002"":2621333,""1102003"":3370284,""1102004"":3744763}",940,"{""1909001"":23}",1382,0
24,2390,"{""1101001"":11192428,""1101002"":8394321,""1101003"":8394321,""1102001"":4493716,""1102002"":3145600,""1102003"":4044341,""1102004"":4493716}",960,"{""1909001"":24}",1439,0
25,2620,"{""1101001"":12823016,""1101002"":9617262,""1101003"":9617262,""1102001"":5392459,""1102002"":3774720,""1102003"":4853209,""1102004"":5392459}",980,"{""1909001"":25}",1502,0
26,2870,"{""1101001"":14026452,""1101002"":10519839,""1101003"":10519839,""1102001"":6470951,""1102002"":4529664,""1102003"":5823851,""1102004"":6470951}",1000,"{""1909001"":26}",1560,0
27,3130,"{""1101001"":15299992,""1101002"":11474994,""1101003"":11474994,""1102001"":7765141,""1102002"":5435597,""1102003"":6988621,""1102004"":7765141}",1020,"{""1909001"":27}",1621,0
28,3410,"{""1101001"":17196584,""1101002"":12897438,""1101003"":12897438,""1102001"":9318169,""1102002"":6522716,""1102003"":8386345,""1102004"":9318169}",1040,"{""1909001"":28}",1682,0
29,3700,"{""1101001"":18651260,""1101002"":13988445,""1101003"":13988445,""1102001"":11181803,""1102002"":7827259,""1102003"":10063614,""1102004"":11181803}",1060,"{""1909001"":29}",1740,0
30,4000,"{""1101001"":19530812,""1101002"":14648109,""1101003"":14648109,""1102001"":13418164,""1102002"":9392711,""1102003"":12076337,""1102004"":13418164}",1080,"{""1909001"":30}",1798,0
