camp_level,levelup_time,need_resource,perlevy_max,need,prosperity,demolition,front_file
1,0,"{""1101001"":1000,""1101002"":1000,""1101003"":1000,""1102003"":2000,""1102001"":1000,""1102004"":1000}",200,"{""1909001"":0}",100,0,9505001
2,10,"{""1101001"":53692,""1101002"":40269,""1101003"":40269,""1102001"":28000,""1102002"":800,""1102003"":14000,""1102004"":28000}",200,"{""1909001"":2}",160,0,9505002
3,10,"{""1101001"":69032,""1101002"":51774,""1101003"":51774,""1102001"":36000,""1102002"":1000,""1102003"":18000,""1102004"":36000}",200,"{""1909001"":3}",200,0,9505003
4,20,"{""1101001"":92040,""1101002"":69030,""1101003"":69030,""1102001"":48000,""1102002"":1400,""1102003"":24000,""1102004"":48000}",200,"{""1909001"":4}",240,0,9505004
5,30,"{""1101001"":134224,""1101002"":100668,""1101003"":100668,""1102001"":68000,""1102002"":1900,""1102003"":34000,""1102004"":68000}",200,"{""1909001"":5}",308,0,9505005
6,80,"{""1101001"":287624,""1101002"":215718,""1101003"":215718,""1102001"":144000,""1102002"":4000,""1102003"":72000,""1102004"":144000}",200,"{""1909001"":6}",355,0,9505006
7,130,"{""1101001"":460196,""1101002"":345147,""1101003"":345147,""1102001"":232000,""1102002"":6500,""1102003"":116000,""1102004"":232000}",200,"{""1909001"":7}",416,0,9505007
8,190,"{""1101001"":655780,""1101002"":491835,""1101003"":491835,""1102001"":328000,""1102002"":9100,""1102003"":164000,""1102004"":328000}",200,"{""1909001"":8}",484,0,9505008
9,260,"{""1101001"":870536,""1101002"":652902,""1101003"":652902,""1102001"":436000,""1102002"":12100,""1102003"":218000,""1102004"":436000}",200,"{""1909001"":9}",547,0,9505009
10,340,"{""1101001"":1108304,""1101002"":831228,""1101003"":831228,""1102001"":556000,""1102002"":15500,""1102003"":278000,""1102004"":556000}",200,"{""1909001"":10}",609,0,9505010
11,420,"{""1101001"":1372916,""1101002"":1029687,""1101003"":1029687,""1102001"":963200,""1102002"":26800,""1102003"":481600,""1102004"":963200}",200,"{""1909001"":11}",660,0,9505011
12,510,"{""1101001"":1660536,""1101002"":1245402,""1101003"":1245402,""1102001"":1164800,""1102002"":32400,""1102003"":582400,""1102004"":1164800}",200,"{""1909001"":12}",725,0,9505012
13,610,"{""1101001"":1978836,""1101002"":1484127,""1101003"":1484127,""1102001"":1386000,""1102002"":38500,""1102003"":693000,""1102004"":1386000}",200,"{""1909001"":13}",787,0,9505013
14,720,"{""1101001"":2323984,""1101002"":1742988,""1101003"":1742988,""1102001"":1626800,""1102002"":45200,""1102003"":813400,""1102004"":1626800}",200,"{""1909001"":14}",847,0,9505014
15,840,"{""1101001"":2703644,""1101002"":2027733,""1101003"":2027733,""1102001"":1892800,""1102002"":52600,""1102003"":946400,""1102004"":1892800}",200,"{""1909001"":15}",900,0,9505015
16,960,"{""1101001"":3110148,""1101002"":2332611,""1101003"":2332611,""1102001"":2178400,""1102002"":60500,""1102003"":1089200,""1102004"":2178400}",200,"{""1909001"":16}",962,0,9505016
17,1100,"{""1101001"":3555004,""1101002"":2666253,""1101003"":2666253,""1102001"":2489200,""1102002"":69200,""1102003"":1244600,""1102004"":2489200}",200,"{""1909001"":17}",1022,0,9505017
18,1250,"{""1101001"":5661596,""1101002"":4246197,""1101003"":4246197,""1102001"":3964800,""1102002"":110200,""1102003"":1982400,""1102004"":3964800}",200,"{""1909001"":18}",1080,0,9505018
19,1410,"{""1101001"":6378048,""1101002"":4783536,""1101003"":4783536,""1102001"":4466000,""1102002"":124100,""1102003"":2233000,""1102004"":4466000}",200,"{""1909001"":19}",1142,0,9505019
20,1580,"{""1101001"":7148372,""1101002"":5361279,""1101003"":5361279,""1102001"":5006400,""1102002"":139100,""1102003"":2503200,""1102004"":5006400}",200,"{""1909001"":20}",1205,0,9505020
21,1770,"{""1101001"":7972560,""1101002"":5979420,""1101003"":5979420,""1102001"":9571200,""1102002"":265900,""1102003"":4785600,""1102004"":9571200}",200,"{""1909001"":21}",1263,0,9505021
22,1960,"{""1101001"":9194580,""1101002"":6895935,""1101003"":6895935,""1102001"":11035200,""1102002"":306600,""1102003"":5517600,""1102004"":11035200}",200,"{""1909001"":22}",1323,0,9505022
23,2170,"{""1101001"":10162724,""1101002"":7622043,""1101003"":7622043,""1102001"":12196800,""1102002"":338800,""1102003"":6098400,""1102004"":12196800}",200,"{""1909001"":23}",1382,0,9505023
24,2390,"{""1101001"":11192428,""1101002"":8394321,""1101003"":8394321,""1102001"":13435200,""1102002"":373200,""1102003"":6717600,""1102004"":13435200}",200,"{""1909001"":24}",1439,0,9505024
25,2620,"{""1101001"":12823016,""1101002"":9617262,""1101003"":9617262,""1102001"":15388800,""1102002"":427500,""1102003"":7694400,""1102004"":15388800}",200,"{""1909001"":25}",1502,0,9505025
