college_level,levelup_time,need_resource,need,prosperity,demolition,front_file
1,0,"{""1101001"":1000,""1101002"":1000,""1101003"":1000,""1102003"":2000,""1102001"":1000,""1102004"":1000}","{""1906001"":0}",100,0,9509001
2,10,"{""1101001"":48470,""1101002"":24235,""1101003"":24235,""1102003"":25000,""1102004"":25000}","{""1906001"":1,""1901001"":2}",160,0,9509002
3,10,"{""1101001"":48470,""1101002"":24235,""1101003"":24235,""1102003"":25000,""1102004"":25000}","{""1906001"":2,""1901001"":3}",200,0,9509003
4,20,"{""1101001"":96940,""1101002"":48470,""1101003"":48470,""1102003"":50000,""1102004"":50000}","{""1906001"":3,""1901001"":4}",240,0,9509004
5,30,"{""1101001"":145410,""1101002"":72705,""1101003"":72705,""1102003"":75000,""1102004"":75000}","{""1906001"":4,""1901001"":5}",308,0,9509005
6,80,"{""1101001"":387755,""1101002"":193878,""1101003"":193878,""1102003"":195000,""1102004"":195000}","{""1906001"":5,""1901001"":6}",355,0,9509006
7,130,"{""1101001"":630095,""1101002"":315048,""1101003"":315048,""1102003"":317500,""1102004"":317500}","{""1906001"":6,""1901001"":7}",416,0,9509007
8,190,"{""1101001"":920910,""1101002"":460455,""1101003"":460455,""1102003"":462500,""1102004"":462500}","{""1906001"":7,""1901001"":8}",484,0,9509008
9,260,"{""1101001"":1260190,""1101002"":630095,""1101003"":630095,""1102003"":632500,""1102004"":632500}","{""1906001"":8,""1901001"":9}",547,0,9509009
10,340,"{""1101001"":1647940,""1101002"":823970,""1101003"":823970,""1102003"":825000,""1102004"":825000}","{""1906001"":9,""1901001"":10}",609,0,9509010
11,420,"{""1101001"":2035690,""1101002"":1017845,""1101003"":1017845,""1102003"":1428000,""1102004"":1428000}","{""1906001"":10,""1901001"":11}",660,0,9509011
12,510,"{""1101001"":2471910,""1101002"":1235955,""1101003"":1235955,""1102003"":1732500,""1102004"":1732500}","{""1906001"":11,""1901001"":12}",725,0,9509012
13,610,"{""1101001"":2956595,""1101002"":1478298,""1101003"":1478298,""1102003"":2072000,""1102004"":2072000}","{""1906001"":12,""1901001"":13}",787,0,9509013
14,720,"{""1101001"":3489755,""1101002"":1744878,""1101003"":1744878,""1102003"":2443000,""1102004"":2443000}","{""1906001"":13,""1901001"":14}",847,0,9509014
15,840,"{""1101001"":4071380,""1101002"":2035690,""1101003"":2035690,""1102003"":2852500,""1102004"":2852500}","{""1906001"":14,""1901001"":15}",900,0,9509015
16,960,"{""1101001"":4653005,""1101002"":2326503,""1101003"":2326503,""1102003"":3258500,""1102004"":3258500}","{""1906001"":15,""1901001"":16}",962,0,9509016
17,1100,"{""1101001"":5331565,""1101002"":2665783,""1101003"":2665783,""1102003"":3734500,""1102004"":3734500}","{""1906001"":16,""1901001"":17}",1022,0,9509017
18,1250,"{""1101001"":8418050,""1101002"":4209025,""1101003"":4209025,""1102003"":5894000,""1102004"":5894000}","{""1906001"":17,""1901001"":18}",1080,0,9509018
19,1410,"{""1101001"":9495560,""1101002"":4747780,""1101003"":4747780,""1102003"":6650000,""1102004"":6650000}","{""1906001"":18,""1901001"":19}",1142,0,9509019
20,1580,"{""1101001"":10640415,""1101002"":5320208,""1101003"":5320208,""1102003"":7451500,""1102004"":7451500}","{""1906001"":19,""1901001"":20}",1205,0,9509020
21,1770,"{""1101001"":11919960,""1101002"":5959980,""1101003"":5959980,""1102003"":14304000,""1102004"":14304000}","{""1906001"":20,""1901001"":21}",1263,0,9509021
22,1960,"{""1101001"":13711375,""1101002"":6855688,""1101003"":6855688,""1102003"":16458000,""1102004"":16458000}","{""1906001"":21,""1901001"":22}",1323,0,9509022
23,2170,"{""1101001"":15180450,""1101002"":7590225,""1101003"":7590225,""1102003"":18222000,""1102004"":18222000}","{""1906001"":22,""1901001"":23}",1382,0,9509023
24,2390,"{""1101001"":16719485,""1101002"":8359743,""1101003"":8359743,""1102003"":20064000,""1102004"":20064000}","{""1906001"":23,""1901001"":24}",1439,0,9509024
25,2620,"{""1101001"":19132740,""1101002"":9566370,""1101003"":9566370,""1102003"":22962000,""1102004"":22962000}","{""1906001"":24,""1901001"":25}",1502,0,9509025
26,2870,"{""1101001"":20958380,""1101002"":10479190,""1101003"":10479190,""1102003"":25152000,""1102004"":25152000}","{""1906001"":25,""1901001"":26}",1560,0,9509026
27,3130,"{""1101001"":22857050,""1101002"":11428525,""1101003"":11428525,""1102003"":27432000,""1102004"":27432000}","{""1906001"":26,""1901001"":27}",1621,0,9509027
28,3410,"{""1101001"":25728520,""1101002"":12864260,""1101003"":12864260,""1102003"":30876000,""1102004"":30876000}","{""1906001"":27,""1901001"":28}",1682,0,9509028
29,3700,"{""1101001"":27916580,""1101002"":13958290,""1101003"":13958290,""1102003"":33504000,""1102004"":33504000}","{""1906001"":28,""1901001"":29}",1740,0,9509029
30,4000,"{""1101001"":29202770,""1101002"":14601385,""1101003"":14601385,""1102003"":35046000,""1102004"":35046000}","{""1906001"":29,""1901001"":30}",1798,0,9509030
