Tech,Tech_ID,Tech_Type,Tech_Effect,Need_Resource,Need_CastelLevel
粮食产量,1301001,1,"[""1101001"":2501014:0.01]","[""1101001"":100000,""1101002"":30000,""1101003"":30000]",1
石头产量,1301002,1,"[""1101002"":2501014:0.01]","[""1101001"":80000,""1101002"":30000,""1101003"":50000]",1
木头产量,1301003,1,"[""1101003"":2501014:0.01]","[""1101001"":80000,""1101002"":50000,""1101003"":30000]",1
铁矿产量,1301004,1,"[""1102001"":2501014:0.01]","[""1101001"":100000,""1101002"":100000,""1101003"":100000]",1
马匹产量,1301005,1,"[""1102002"":2501014:0.01]","[""1101001"":100000,""1101002"":100000,""1101003"":100000]",1
赤铜产量,1301006,1,"[""1102003"":2501014:0.01]","[""1101001"":100000,""1101002"":100000,""1101003"":100000]",1
铁木产量,1301007,1,"[""1102004"":2501014:0.01]","[""1101001"":100000,""1101002"":100000,""1101003"":100000]",1
相克效果,1302001,2,"[""1200000"":2501015:0.02]","[""1101001"":200000,""1101002"":100000,""1101003"":100000]",5
暴击几率,1302002,2,"[""1200000"":2501003:0.02]","[""1101001"":100000,""1101002"":80000,""1101003"":80000]",5
暴击伤害,1302003,2,"[""1200000"":2501017:0.02]","[""1101001"":150000,""1101002"":80000,""1101003"":80000]",5
伤兵几率,1302004,2,"[""1200000"":2501014:0.02]","[""1101001"":200000,""1101002"":100000,""1101003"":100000]",5
侦察时间,1302005,2,"[""1200000"":2501013:-0.03]","[""1101001"":100000,""1101002"":50000,""1101003"":50000]",5
闪避几率,1302006,2,"[""1200000"":2501004:0.01]","[""1101001"":100000,""1101002"":80000,""1101003"":80000]",5
人口上限,1303001,3,"[""1101004"":2501015:0.01]","[""1101001"":200000,""1101002"":100000,""1101003"":100000]",10
人口生产,1303002,3,"[""1101004"":2501014:0.01]","[""1101001"":100000,""1101002"":50000,""1101003"":50000]",10
建筑速度,1303003,3,"[""1900000"":2501011:-0.01]","[""1101001"":200000,""1101002"":100000,""1101003"":100000]",10,,,,,,,,,,,,
城墙耐久,1304001,4,"[""1205001"":2501007:0.01]","[""1101001"":200000,""1101002"":100000,""1101003"":100000]",10,,,,,,,,,,,,
城墙防御,1304002,4,"[""1205001"":2501006:0.01]","[""1101001"":150000,""1101002"":80000,""1101003"":80000]",15,,,,,,,,,,,,
箭塔攻击,1304003,4,"[""1206001"":2501005:0.01]","[""1101001"":200000,""1101002"":100000,""1101003"":100000]",15,,,,,,,,,,,,
箭塔防御,1304004,4,"[""1206001"":2501006:0.01]","[""1101001"":150000,""1101002"":80000,""1101003"":80000]",15,,,,,,,,,,,,
箭塔耐久,1304005,4,"[""1206001"":2501007:0.01]","[""1101001"":200000,""1101002"":100000,""1101003"":100000]",15,,,,,,,,,,,,





,,,,,,,,,,,,,,,,,0
