march_level,levelup_time,need_resource,need,prosperity,demolition,attributes,front_file
1,0,"{""1101001"":1000,""1101002"":1000,""1101003"":1000,""1102003"":2000,""1102001"":1000,""1102004"":1000}","{""1901001"":0}",100,1,"{""2500117"":1,""2500123"":0.01}",9510001
2,10,"{""1101001"":8631,""1101002"":8631,""1101003"":11508,""1102003"":2000,""1102001"":1500,""1102004"":1500}","{""1901001"":2}",160,1,"{""2500117"":2,""2500123"":0.01}",9510002
3,10,"{""1101001"":8631,""1101002"":8631,""1101003"":11508,""1102003"":2000,""1102001"":1500,""1102004"":1500}","{""1901001"":3}",200,1,"{""2500117"":3,""2500123"":0.01}",9510003
4,20,"{""1101001"":11505,""1101002"":11505,""1101003"":15340,""1102003"":2667,""1102001"":2000,""1102004"":2000}","{""1901001"":4}",240,1,"{""2500117"":4,""2500123"":0.01}",9510004
5,30,"{""1101001"":17259,""1101002"":17259,""1101003"":23012,""1102003"":4000,""1102001"":3000,""1102004"":3000}","{""1901001"":5}",308,1,"{""2500117"":5,""2500123"":0.01}",9510005
6,80,"{""1101001"":34515,""1101002"":34515,""1101003"":46020,""1102003"":8000,""1102001"":6000,""1102004"":6000}","{""1901001"":6}",355,1,"{""2500117"":6,""2500123"":0.01}",9510006
7,130,"{""1101001"":57525,""1101002"":57525,""1101003"":76700,""1102003"":13334,""1102001"":10000,""1102004"":10000}","{""1901001"":7}",416,1,"{""2500117"":7,""2500123"":0.02}",9510007
8,190,"{""1101001"":80535,""1101002"":80535,""1101003"":107380,""1102003"":18000,""1102001"":13500,""1102004"":13500}","{""1901001"":8}",484,1,"{""2500117"":8,""2500123"":0.02}",9510008
9,260,"{""1101001"":106422,""1101002"":106422,""1101003"":141896,""1102003"":24000,""1102001"":18000,""1102004"":18000}","{""1901001"":9}",547,1,"{""2500117"":9,""2500123"":0.02}",9510009
10,340,"{""1101001"":135183,""1101002"":135183,""1101003"":180244,""1102003"":30667,""1102001"":23000,""1102004"":23000}","{""1901001"":10}",609,1,"{""2500117"":10,""2500123"":0.02}",9510010
11,420,"{""1101001"":166821,""1101002"":166821,""1101003"":222428,""1102003"":52267,""1102001"":39200,""1102004"":39200}","{""1901001"":11}",660,1,"{""2500117"":11,""2500123"":0.02}",9510011
12,510,"{""1101001"":201336,""1101002"":201336,""1101003"":268448,""1102003"":63467,""1102001"":47600,""1102004"":47600}","{""1901001"":12}",725,1,"{""2500117"":12,""2500123"":0.02}",9510012
13,610,"{""1101001"":238728,""1101002"":238728,""1101003"":318304,""1102003"":74667,""1102001"":56000,""1102004"":56000}","{""1901001"":13}",787,1,"{""2500117"":13,""2500123"":0.03}",9510013
14,720,"{""1101001"":278994,""1101002"":278994,""1101003"":371992,""1102003"":86800,""1102001"":65100,""1102004"":65100}","{""1901001"":14}",847,1,"{""2500117"":14,""2500123"":0.03}",9510014
15,840,"{""1101001"":325014,""1101002"":325014,""1101003"":433352,""1102003"":101734,""1102001"":76300,""1102004"":76300}","{""1901001"":15}",900,1,"{""2500117"":15,""2500123"":0.03}",9510015
16,960,"{""1101001"":373908,""1101002"":373908,""1101003"":498544,""1102003"":116667,""1102001"":87500,""1102004"":87500}","{""1901001"":16}",962,1,"{""2500117"":16,""2500123"":0.03}",9510016
17,1100,"{""1101001"":428559,""1101002"":428559,""1101003"":571412,""1102003"":133467,""1102001"":100100,""1102004"":100100}","{""1901001"":17}",1022,1,"{""2500117"":17,""2500123"":0.03}",9510017
18,1250,"{""1101001"":682788,""1101002"":682788,""1101003"":910384,""1102003"":212800,""1102001"":159600,""1102004"":159600}","{""1901001"":18}",1080,1,"{""2500117"":18,""2500123"":0.03}",9510018
19,1410,"{""1101001"":767631,""1101002"":767631,""1101003"":1023508,""1102003"":238934,""1102001"":179200,""1102004"":179200}","{""1901001"":19}",1142,1,"{""2500117"":19,""2500123"":0.04}",9510019
20,1580,"{""1101001"":860553,""1101002"":860553,""1101003"":1147404,""1102003"":267867,""1102001"":200900,""1102004"":200900}","{""1901001"":20}",1205,1,"{""2500117"":20,""2500123"":0.04}",9510020
21,1770,"{""1101001"":957516,""1101002"":957516,""1101003"":1276688,""1102003"":512000,""1102001"":384000,""1102004"":384000}","{""1901001"":21}",1263,1,"{""2500117"":21,""2500123"":0.04}",9510021
22,1960,"{""1101001"":1103853,""1101002"":1103853,""1101003"":1471804,""1102003"":588800,""1102001"":441600,""1102004"":441600}","{""1901001"":22}",1323,1,"{""2500117"":22,""2500123"":0.04}",9510022
23,2170,"{""1101001"":1221375,""1101002"":1221375,""1101003"":1628500,""1102003"":652800,""1102001"":489600,""1102004"":489600}","{""1901001"":23}",1382,1,"{""2500117"":23,""2500123"":0.04}",9510023
24,2390,"{""1101001"":1343094,""1101002"":1343094,""1101003"":1790792,""1102003"":716800,""1102001"":537600,""1102004"":537600}","{""1901001"":24}",1439,1,"{""2500117"":24,""2500123"":0.04}",9510024
25,2620,"{""1101001"":1542267,""1101002"":1542267,""1101003"":2056356,""1102003"":824000,""1102001"":618000,""1102004"":618000}","{""1901001"":25}",1502,1,"{""2500117"":25,""2500123"":0.05}",9510025
26,2870,"{""1101001"":1686855,""1101002"":1686855,""1101003"":2249140,""1102003"":900800,""1102001"":675600,""1102004"":675600}","{""1901001"":26}",1560,1,"{""2500117"":26,""2500123"":0.05}",9510026
27,3130,"{""1101001"":1835826,""1101002"":1835826,""1101003"":2447768,""1102003"":979200,""1102001"":734400,""1102004"":734400}","{""1901001"":27}",1621,1,"{""2500117"":27,""2500123"":0.05}",9510027
28,3410,"{""1101001"":2064315,""1101002"":2064315,""1101003"":2752420,""1102003"":1102400,""1102001"":826800,""1102004"":826800}","{""1901001"":28}",1682,1,"{""2500117"":28,""2500123"":0.05}",9510028
29,3700,"{""1101001"":2240868,""1101002"":2240868,""1101003"":2987824,""1102003"":1195200,""1102001"":896400,""1102004"":896400}","{""1901001"":29}",1740,1,"{""2500117"":29,""2500123"":0.05}",9510029
30,4000,"{""1101001"":2347905,""1101002"":2347905,""1101003"":3130540,""1102003"":1252800,""1102001"":939600,""1102004"":939600}","{""1901001"":30}",1798,1,"{""2500117"":30,""2500123"":0.05}",9510030
