wounded_arm_level,levelup_time,need_resource,need,prosperity,demolition,capacity,attributes,front_file
1,0,"{""1101001"":1000,""1101002"":1000,""1101003"":1000,""1102003"":2000,""1102001"":1000,""1102004"":1000}","{""1901001"":0}",100,1,1100,"{""2500116"":0.01}",9511001
2,10,"{""1101001"":8631,""1101002"":8631,""1101003"":11508,""1102003"":2000,""1102001"":2000,""1102004"":1000}","{""1901001"":2}",160,1,1200,"{""2500116"":0.01}",9511002
3,10,"{""1101001"":8631,""1101002"":8631,""1101003"":11508,""1102003"":2000,""1102001"":2000,""1102004"":1000}","{""1901001"":3}",200,1,1300,"{""2500116"":0.01}",9511003
4,20,"{""1101001"":11505,""1101002"":11505,""1101003"":15340,""1102003"":2667,""1102001"":2667,""1102004"":1334}","{""1901001"":4}",240,1,1400,"{""2500116"":0.01}",9511004
5,30,"{""1101001"":17259,""1101002"":17259,""1101003"":23012,""1102003"":4000,""1102001"":4000,""1102004"":2000}","{""1901001"":5}",308,1,1500,"{""2500116"":0.01}",9511005
6,80,"{""1101001"":34515,""1101002"":34515,""1101003"":46020,""1102003"":8000,""1102001"":8000,""1102004"":4000}","{""1901001"":6}",355,1,1600,"{""2500116"":0.01}",9511006
7,130,"{""1101001"":57525,""1101002"":57525,""1101003"":76700,""1102003"":13334,""1102001"":13334,""1102004"":6667}","{""1901001"":7}",416,1,1700,"{""2500116"":0.02}",9511007
8,190,"{""1101001"":80535,""1101002"":80535,""1101003"":107380,""1102003"":18000,""1102001"":18000,""1102004"":9000}","{""1901001"":8}",484,1,1800,"{""2500116"":0.02}",9511008
9,260,"{""1101001"":106422,""1101002"":106422,""1101003"":141896,""1102003"":24000,""1102001"":24000,""1102004"":12000}","{""1901001"":9}",547,1,1900,"{""2500116"":0.02}",9511009
10,340,"{""1101001"":135183,""1101002"":135183,""1101003"":180244,""1102003"":30667,""1102001"":30667,""1102004"":15334}","{""1901001"":10}",609,1,2000,"{""2500116"":0.02}",9511010
11,420,"{""1101001"":166821,""1101002"":166821,""1101003"":222428,""1102003"":52267,""1102001"":52267,""1102004"":26134}","{""1901001"":11}",660,1,2100,"{""2500116"":0.02}",9511011
12,510,"{""1101001"":201336,""1101002"":201336,""1101003"":268448,""1102003"":63467,""1102001"":63467,""1102004"":31734}","{""1901001"":12}",725,1,2200,"{""2500116"":0.02}",9511012
13,610,"{""1101001"":238728,""1101002"":238728,""1101003"":318304,""1102003"":74667,""1102001"":74667,""1102004"":37334}","{""1901001"":13}",787,1,2300,"{""2500116"":0.03}",9511013
14,720,"{""1101001"":278994,""1101002"":278994,""1101003"":371992,""1102003"":86800,""1102001"":86800,""1102004"":43400}","{""1901001"":14}",847,1,2400,"{""2500116"":0.03}",9511014
15,840,"{""1101001"":325014,""1101002"":325014,""1101003"":433352,""1102003"":101734,""1102001"":101734,""1102004"":50867}","{""1901001"":15}",900,1,2500,"{""2500116"":0.03}",9511015
16,960,"{""1101001"":373908,""1101002"":373908,""1101003"":498544,""1102003"":116667,""1102001"":116667,""1102004"":58334}","{""1901001"":16}",962,1,2600,"{""2500116"":0.03}",9511016
17,1100,"{""1101001"":428559,""1101002"":428559,""1101003"":571412,""1102003"":133467,""1102001"":133467,""1102004"":66734}","{""1901001"":17}",1022,1,2700,"{""2500116"":0.03}",9511017
18,1250,"{""1101001"":682788,""1101002"":682788,""1101003"":910384,""1102003"":212800,""1102001"":212800,""1102004"":106400}","{""1901001"":18}",1080,1,2800,"{""2500116"":0.03}",9511018
19,1410,"{""1101001"":767631,""1101002"":767631,""1101003"":1023508,""1102003"":238934,""1102001"":238934,""1102004"":119467}","{""1901001"":19}",1142,1,2900,"{""2500116"":0.04}",9511019
20,1580,"{""1101001"":860553,""1101002"":860553,""1101003"":1147404,""1102003"":267867,""1102001"":267867,""1102004"":133934}","{""1901001"":20}",1205,1,3000,"{""2500116"":0.04}",9511020
21,1770,"{""1101001"":957516,""1101002"":957516,""1101003"":1276688,""1102003"":512000,""1102001"":512000,""1102004"":256000}","{""1901001"":21}",1263,1,3100,"{""2500116"":0.04}",9511021
22,1960,"{""1101001"":1103853,""1101002"":1103853,""1101003"":1471804,""1102003"":588800,""1102001"":588800,""1102004"":294400}","{""1901001"":22}",1323,1,3200,"{""2500116"":0.04}",9511022
23,2170,"{""1101001"":1221375,""1101002"":1221375,""1101003"":1628500,""1102003"":652800,""1102001"":652800,""1102004"":326400}","{""1901001"":23}",1382,1,3300,"{""2500116"":0.04}",9511023
24,2390,"{""1101001"":1343094,""1101002"":1343094,""1101003"":1790792,""1102003"":716800,""1102001"":716800,""1102004"":358400}","{""1901001"":24}",1439,1,3400,"{""2500116"":0.04}",9511024
25,2620,"{""1101001"":1542267,""1101002"":1542267,""1101003"":2056356,""1102003"":824000,""1102001"":824000,""1102004"":412000}","{""1901001"":25}",1502,1,3500,"{""2500116"":0.05}",9511025
26,2870,"{""1101001"":1686855,""1101002"":1686855,""1101003"":2249140,""1102003"":900800,""1102001"":900800,""1102004"":450400}","{""1901001"":26}",1560,1,3600,"{""2500116"":0.05}",9511026
27,3130,"{""1101001"":1835826,""1101002"":1835826,""1101003"":2447768,""1102003"":979200,""1102001"":979200,""1102004"":489600}","{""1901001"":27}",1621,1,3700,"{""2500116"":0.05}",9511027
28,3410,"{""1101001"":2064315,""1101002"":2064315,""1101003"":2752420,""1102003"":1102400,""1102001"":1102400,""1102004"":551200}","{""1901001"":28}",1682,1,3800,"{""2500116"":0.05}",9511028
29,3700,"{""1101001"":2240868,""1101002"":2240868,""1101003"":2987824,""1102003"":1195200,""1102001"":1195200,""1102004"":597600}","{""1901001"":29}",1740,1,3900,"{""2500116"":0.05}",9511029
