id,numerical
100001,0.5
100002,10080
100003,"[600,640]"
100004,0.9
100005,0.9
100006,2
100007,2
100008,6
100009,
100010,2804014
100011,2804015
100012,2804016
100013,2804017
100014,2804018
100015,100
100016,100
100017,100
100018,100
100019,60
100020,5
100021,5
100022,0
100023,1
100024,1
100025,2
100026,3
100027,50000
100028,0.01
100029,0.06
100030,100
100031,720
100032,50000
100033,10000
100034,100000
100035,"[20,12]"
100036,2
100037,0.5
100038,4
100039,2804023
100040,1000
100041,5
100042,7
100043,"{""1001"":36,""1002"":108,""1003"":256}"
100044,"{""1001"":216,""1002"":648,""1003"":1536}"
100045,"{""1001"":144,""1002"":432,""1003"":1024}"
100046,1
100047,500
100048,3
100049,10
100050,6
100051,0.01
100052,2804019
100053,2804020
100054,2804021
100055,2804022
100056,1320
100057,20000
100058,10000
100059,5
100060,0.5
100061,0.1
100062,2804024
100063,0.6
100064,5000000
100065,"[6,4]"
100066,"[6,0]"
100067,15
100068,2100039
100069,120
100070,"[1,7]"
100071,1
100072,1
100073,0.5
100074,1
100075,1
100076,30
100077,30
100078,10
100079,99
100080,4320
100081,5
100082,0
100083,1
100084,2
100085,3
100086,"{""1903001"":1}"
100087,"{""1903001"":5}"
100088,"{""1903001"":10}"
100089,"{""1903001"":15}"
100090,0.1
100091,"{""guaibag15"":1,""liangbag15"":1,""mubag15"":1,""shibag15"":1}"
100092,10
100093,10
100094,10
100095,100
100096,5
100097,10
100098,1440
100099,1440
100100,100
100101,1440
100102,1440
100103,50
100104,30
100105,1
100106,5
100107,5
100108,5
100109,9999999999
100110,5
100111,"[5600001,5600002,5600003,5600004,5600005,5600006]"
100112,"{""1103003"":100,""5500001"":10,""1103005"":10}"
100113,1
100114,1440
100115,5
100116,960
100117,3
100118,"{""5500001"":1}"
100119,1
100120,10080
100121,"{""1103001"":1000}"
100122,30
100123,5
100124,960
100125,1
100126,100
100127,1380
100128,2
100129,20
100130,50
100131,100
100132,1
100133,5
100134,5
100135,"{""1103003"":10000}"
100136,2
100137,"{""1103003"":200}"
100138,1
100139,1
100140,1000
