key,value
16010010,草原
16020010,荒原
16030010,沙漠
16040010,綠洲
16050010,叢林
16060010,山地
16070010,沼澤
16080010,湖泊
16010011,寬廣的草原
16020011,荒凉的平原
16030011,一望無際的沙漠
16040011,沙漠中的生命綠舟
16050011,茂密的叢林
16060011,產出石頭的主要地形
16070011,恐怖的澡澤，會大面積减低部隊的移動速度
16080011,廣闊的湖泊讓人看上去內心平靜
15010010,陞級
15010020,詳情
15010030,進攻
15010040,購買
15010050,出售
15010060,撤單
15010070,放弃
15010080,訓練
15010090,收藏
15010100,移動
15020010,瞭望塔查看
15030010,主城增益
15030020,主城查看
15030030,主城移民
15040010,城牆維修
15050010,學院研究
15060010,進入都市
15070010,（我）領地修建
15070020,（我）領地拆除
15070030,（我）領地派遣
15080010,（敵）領地偵查
11010010,糧食
11010020,木頭
11010030,石頭
11010040,人口
11020010,鐵礦
11020020,馬匹
11020030,赤銅
11020040,鐵木
11030010,黃金
11030020,泉水
