attributes_id,force_mnax,attack,defence,hp,speed,shoot_range,attack_speed,maintenance_resource,levy_time,collect_speed,arm_load,first_attack,arm_dodge,arm_crit,arm_crit_damege,arm_recover_need,arm_recoer_time,arm_attack_type,arm_def_type,view
6013101,500,15,8,9,0.5,1,1,"{""1101001"":0.005}",0.05,0.8,6,1,0,0,1,"{""1101001"":200,""1101002"":300}",0.05,1,1,5
6013102,500,21,10,13,0.5,1,1,"{""1101001"":0.007}",0.1,0.9,7,1,0,0,1,"{""1101001"":300,""1101002"":450,""1102001"":188,""1102004"":188}",0.1,1,1,5
6013103,500,29,14,18,0.5,1,1,"{""1101001"":0.009}",0.15,1,8,1,0,0,1,"{""1101001"":450,""1101002"":675,""1102001"":282,""1102004"":282}",0.15,1,1,5
6013104,500,40,20,25,0.5,1,1,"{""1101001"":0.012}",0.2,1.2,9,1,0,0,1,"{""1101001"":676,""1101002"":1013,""1102001"":423,""1102004"":423}",0.2,1,1,5
6013105,500,54,28,33,0.5,1,1,"{""1101001"":0.016}",0.25,1.4,11,1,0,0,1,"{""1101001"":1013,""1101002"":1520,""1102001"":634,""1102004"":634}",0.25,1,1,5
6013106,500,74,40,44,0.5,1,1,"{""1101001"":0.022}",0.3,1.6,12,1,0,0,1,"{""1101001"":1520,""1101002"":2279,""1102001"":951,""1102004"":951}",0.3,1,1,5
6013107,500,100,55,60,0.5,1,1,"{""1101001"":0.03}",0.4,2,15,1,0,0,1,"{""1101001"":2279,""1101002"":3419,""1102001"":1427,""1102004"":1427}",0.4,1,1,5
6013108,500,138,75,81,0.5,1,1,"{""1101001"":0.04}",0.5,2.3,18,1,0,0,1,"{""1101001"":3419,""1101002"":5128,""1102001"":2140,""1102004"":2140}",0.5,1,1,5
6013109,500,193,100,110,0.5,1,1,"{""1101001"":0.053}",0.6,2.6,20,1,0,0,1,"{""1101001"":5128,""1101002"":7692,""1102001"":3210,""1102004"":3210}",0.6,1,1,5
6013110,500,274,130,150,0.5,1,1,"{""1101001"":0.07}",0.75,3,23,1,0,0,1,"{""1101001"":7692,""1101002"":11538,""1102001"":4815,""1102004"":4815}",0.75,1,1,5
6013201,500,6,12,16,0.4,1,1,"{""1101001"":0.008}",0.05,0.72,5,1,0,0,1,"{""1101001"":300,""1101002"":200}",0.05,1,2,5
6013202,500,8,16,24,0.4,1,1,"{""1101001"":0.011}",0.1,0.81,6,1,0,0,1,"{""1101001"":450,""1101002"":300,""1102003"":188,""1102004"":188}",0.1,1,2,5
