arm_id,weapon,attack_interval,attack_order,arm_display
1201001,,0,0,"[[0,0]]"
1201002,,0,0,"[[0,0]]"
1202001,,0,0,"[[0,0]]"
1202002,,0,0,"[[0,0]]"
1203001,arrow,0,0,"[[0,0]]"
1203002,arrow,0,0,"[[0,0]]"
1204001,,0,0,"[[0,0]]"
2603001,arrow,0,0,"[[0,0]]"
2605001,,0,0,"[[0,0]]"
2605101,,0,0,"[[0,0]]"
2605002,,0,0,"[[0,0]]"
2605102,,0,0,"[[0,0]]"
3305001,,0.3,"[1,3,2]","[[0,0],[27,-24],[-27,-24]]"
3306001,,0,0,"[[0,0]]"
3307001,arrow,0,0,"[[0,0],[28,-18],[-28,-18]]"
3305003,,0,0,"[[0,0]]"
3313001,,0,0,"[[0,0]]"
3314001,,0,0,"[[0,0]]"
3315001,arrow,0,0,"[[0,0]]"
3316001,,0,0,"[[0,0]]"
3318001,,0,0,"[[0,0]]"
3317001,,0,0,"[[0,0]]"
3319001,,0,0,"[[0,0]]"
3316003,,0,0,"[[0,0]]"
3320001,,0,0,"[[0,0]]"
3321001,,0,0,"[[0,0]]"
3322001,arrow,0,0,"[[0,0]]"
3323001,,0,0,"[[0,0]]"
3324001,,0,0,"[[0,0]]"
3325001,,0,0,"[[0,0]]"
3326001,arrow,0,0,"[[0,0]]"
3327001,,0,0,"[[0,0]]"
3328001,,0,0,"[[0,0]]"
12010011,,0.3,"[2,3,1]","[[0,0],[28,-18],[-28,-18]]"
12010021,,0.3,"[1,2,3]","[[0,0],[28,-18],[-28,-18]]"
12020011,,0.3,"[3,2,1]","[[0,0],[27,-24],[-27,-24]]"
12020021,,0.3,"[1,3,2]","[[0,0],[27,-24],[-27,-24]]"
12030011,arrow,0,0,"[[0,0],[28,-18],[-28,-18]]"
12030021,arrow,0,0,"[[0,0],[27,-24],[-27,-24]]"
