arm_id,arm,max_level,force_Levelup,attack_levelup,defence_levelup,speed_levelup,shoot_range_levelup,telent_id,telent_levelup,food_levelup,wood_levelup,stone_levelup,gold_levelup
1201001,长枪,5,{1:100},{1:10},{1:5},{1:0},{1:0},0,{},{4:0},{4:0},{4:0},{4:0}
1202001,轻骑,5,{1:100},{1:13},{1:5},{1:0},{1:0},0,{},{4:0},{4:0},{4:0},{4:0}
1203001,轻弓,5,{1:100},{1:12},{1:3},{1:0},{1:0},0,{},{4:0},{4:0},{4:0},{4:0}
1201002,刀盾,5,{1:100},{1:10},{1:8},{1:0},{1:0},0,{},{4:0},{4:0},{4:0},{4:0}
1202002,重骑,5,{1:100},{1:15},{1:5},{1:0},{1:0},0,{},{4:0},{4:0},{4:0},{4:0}
1203002,弓骑,5,{1:100},{1:12},{1:4},{1:0},{1:0},0,{},{4:0},{4:0},{4:0},{4:0}
1204001,冲车,5,{1:200},{1:10},{1:12},{1:0},{1:0},0,{},{4:0},{4:0},{4:0},{4:0}
1206001,箭塔,10,{1:100},{1:15},{1:5},{1:0},{1:0},0,{},{2:0},{2:0},{2:0},{2:0}
1201003,白狼,5,{1:200},{1:15},{1:8},{1:0},{1:0},1000,{1:0.02},{4:0},{4:0},{4:0},{4:0}
1202003,金钱豹,5,{1:200},{1:20},{1:10},{1:0},{1:0},1000,{1:0.02},{4:0},{4:0},{4:0},{4:0}
1202004,白额虎,5,{1:200},{1:25},{1:10},{1:0},{1:0},1000,{1:0.01},{4:0},{4:0},{4:0},{4:0}
1203003,耳廓狐,5,{1:200},{1:25},{1:6},{1:0},{1:0},1000,{1:0.01},{4:0},{4:0},{4:0},{4:0}
1204002,南蛮象,5,{1:300},{1:10},{1:16},{1:0},{1:0},1000,{1:0.005},{4:0},{4:0},{4:0},{4:0}
1202005,沙漠驼,5,{1:200},{1:15},{1:10},{1:0},{1:0},1000,{1:0.02},{4:0},{4:0},{4:0},{4:0}
1203005,狮鹫,5,{1:200},{1:20},{1:7},{1:0},{1:0},1000,{1:0.005},{4:0},{4:0},{4:0},{4:0}
1201004,刺熊,5,{1:200},{1:10},{1:10},{1:0},{1:0},1000,{1:0.02},{4:0},{4:0},{4:0},{4:0}
1203004,利爪猫,5,{1:200},{1:18},{1:8},{1:0},{1:0},1000,{1:0.02},{4:0},{4:0},{4:0},{4:0}
1204003,犀牛,5,{1:300},{1:10},{1:15},{1:0},{1:0},1000,{1:0.01},{4:0},{4:0},{4:0},{4:0}
1201005,羊驼,5,{1:200},{1:10},{1:12},{1:0},{1:0},1000,{1:0.01},{4:0},{4:0},{4:0},{4:0}
