chest_id,resource_id,chest_level,chest_defense,chest_health,ui_icon,map_icon,arm_def_type
4001101,"[1101002,0]",1,10,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001102,"[1101002,1000]",2,20,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001103,"[1101002,2000]",3,30,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001104,"[1101002,3000]",4,40,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001105,"[1101002,4000]",5,50,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001106,"[1101002,5000]",6,60,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001107,"[1101002,6000]",7,70,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001108,"[1101002,7000]",8,80,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001109,"[1101002,8000]",9,90,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001110,"[1101002,9000]",10,100,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001111,"[1101002,10000]",11,110,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001112,"[1101002,11000]",12,120,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001113,"[1101002,12000]",13,130,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001114,"[1101002,13000]",14,140,1,bx_baoxiangxiangqin,bx_luodi3,1
4001115,"[1101002,14000]",15,150,1,bx_baoxiangxiangqin,bx_luodi3,1
4001116,"[1101002,15000]",16,160,1,bx_baoxiangxiangqin,bx_luodi3,1
4001117,"[1101002,16000]",17,170,1,bx_baoxiangxiangqin,bx_luodi3,1
4001118,"[1101002,17000]",18,180,1,bx_baoxiangxiangqin,bx_luodi3,1
4001119,"[1101002,18000]",19,190,1,bx_baoxiangxiangqin,bx_luodi3,1
4001120,"[1101002,19000]",20,200,1,bx_baoxiangxiangqin,bx_luodi3,1
4001301,"[1101003,0]",1,10,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001302,"[1101003,1000]",2,20,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001303,"[1101003,2000]",3,30,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001304,"[1101003,3000]",4,40,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001305,"[1101003,4000]",5,50,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001306,"[1101003,5000]",6,60,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001307,"[1101003,6000]",7,70,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001308,"[1101003,7000]",8,80,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001309,"[1101003,8000]",9,90,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001310,"[1101003,9000]",10,100,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001311,"[1101003,10000]",11,110,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001312,"[1101003,11000]",12,120,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001313,"[1101003,12000]",13,130,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001314,"[1101003,13000]",14,140,1,bx_baoxiangxiangqin,bx_luodi3,1
4001315,"[1101003,14000]",15,150,1,bx_baoxiangxiangqin,bx_luodi3,1
4001316,"[1101003,15000]",16,160,1,bx_baoxiangxiangqin,bx_luodi3,1
4001317,"[1101003,16000]",17,170,1,bx_baoxiangxiangqin,bx_luodi3,1
4001318,"[1101003,17000]",18,180,1,bx_baoxiangxiangqin,bx_luodi3,1
4001319,"[1101003,18000]",19,190,1,bx_baoxiangxiangqin,bx_luodi3,1
4001320,"[1101003,19000]",20,200,1,bx_baoxiangxiangqin,bx_luodi3,1
4001401,"[1101001,0]",1,10,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001402,"[1101001,1000]",2,20,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001403,"[1101001,2000]",3,30,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001404,"[1101001,3000]",4,40,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001405,"[1101001,4000]",5,50,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001406,"[1101001,5000]",6,60,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001407,"[1101001,6000]",7,70,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001408,"[1101001,7000]",8,80,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001409,"[1101001,8000]",9,90,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001410,"[1101001,9000]",10,100,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001411,"[1101001,10000]",11,110,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001412,"[1101001,11000]",12,120,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001413,"[1101001,12000]",13,130,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001414,"[1101001,13000]",14,140,1,bx_baoxiangxiangqin,bx_luodi3,1
4001415,"[1101001,14000]",15,150,1,bx_baoxiangxiangqin,bx_luodi3,1
4001416,"[1101001,15000]",16,160,1,bx_baoxiangxiangqin,bx_luodi3,1
4001417,"[1101001,16000]",17,170,1,bx_baoxiangxiangqin,bx_luodi3,1
4001418,"[1101001,17000]",18,180,1,bx_baoxiangxiangqin,bx_luodi3,1
4001419,"[1101001,18000]",19,190,1,bx_baoxiangxiangqin,bx_luodi3,1
4001420,"[1101001,19000]",20,200,1,bx_baoxiangxiangqin,bx_luodi3,1
4001501,"[1102002,0]",1,10,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001502,"[1102002,1000]",2,20,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001503,"[1102002,2000]",3,30,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001504,"[1102002,3000]",4,40,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001505,"[1102002,4000]",5,50,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001506,"[1102002,5000]",6,60,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001507,"[1102002,6000]",7,70,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001508,"[1102002,7000]",8,80,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001509,"[1102002,8000]",9,90,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001510,"[1102002,9000]",10,100,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001511,"[1102002,10000]",11,110,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001512,"[1102002,11000]",12,120,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001513,"[1102002,12000]",13,130,1,bx_baoxiangxiangqin2,bx_luodi2,1
