task_id,reward1_id,reward2_id
5700001,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700002,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700003,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700004,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700005,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700006,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700007,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700008,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700009,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700010,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700011,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700012,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700013,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700014,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700015,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700016,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700017,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700018,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700019,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700020,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700021,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700022,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700023,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700024,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700025,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700026,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700027,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700028,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700029,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700030,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700031,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700032,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700033,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700034,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700035,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700036,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700037,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700038,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700039,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
