goods_id,trading_id,unlock_condition,limited_purchase
2900001,2900001,"{""5500006"":1}",0
2900002,2900002,"{""5500006"":1}",0
2900003,2900003,"{""5500006"":1}",1
2900004,2900004,"{""5500006"":1}",2
2900005,2900005,"{""5500006"":1}",3
2900006,2900006,"{""5500006"":1}",4
2900007,2900007,"{""5500006"":1}",5
2900008,2900008,"{""5500006"":1}",6
2900009,2900009,"{""5500006"":2}",7
2900010,2900010,"{""5500006"":2}",8
2900011,2900011,"{""5500006"":2}",9
2900012,2900012,"{""5500006"":2}",10
2900013,2900013,"{""5500006"":2}",11
2900014,2900014,"{""5500006"":2}",12
2900015,2900015,"{""5500006"":2}",13
2900016,2900016,"{""5500006"":2}",14
2900017,2900017,"{""5500006"":2}",15
2900018,2900018,"{""5500006"":2}",16
2900019,2900019,"{""5500006"":2}",17
