task_id,task_class,task_city,task_class_1,task_type,accumulation,task_need,task_stage1,task_stage2,task_stage3,task_stage4,reward_id1,reward_id2,reward_id3,reward_id4,corps_reward_id1,corps_reward_id2,corps_reward_id3,corps_reward_id4,personal_reward_id1,personal_reward_id2,personal_reward_id3,personal_reward_id4,display_reward_id1,display_reward_id2,display_reward_id3,display_reward_id4
5800001,"[1,1]",2,5,7,1,"{""5710001"":[500]}",25,50,75,100,{},{},{},{},"{""5500001"":50}","{""5500001"":50}","{""5500001"":50}","{""5500001"":50}","{""1103005"":50}","{""1103005"":50}","{""1103005"":50}","{""1103005"":50}","{""5500001"":50,""1103005"":50}","{""5500001"":50,""1103005"":50}","{""5500001"":50,""1103005"":50}","{""5500001"":50,""1103005"":50}"
5800002,"[1,1]",2,5,8,1,"{""5710002"":[500]}",25,50,75,100,{},{},{},{},"{""5500001"":90}","{""5500001"":120}","{""5500001"":150}","{""5500001"":210}","{""1103005"":90}","{""1103005"":120}","{""1103005"":150}","{""1103005"":210}","{""5500001"":90,""1103005"":90}","{""5500001"":120,""1103005"":120}","{""5500001"":150,""1103005"":150}","{""5500001"":210,""1103005"":210}"
5800003,"[1,1]",2,5,9,1,"{""5710003"":[500]}",25,50,75,100,{},{},{},{},"{""5500001"":50}","{""5500001"":50}","{""5500001"":50}","{""5500001"":50}","{""1103005"":50}","{""1103005"":50}","{""1103005"":50}","{""1103005"":50}","{""5500001"":50,""1103005"":50}","{""5500001"":50,""1103005"":50}","{""5500001"":50,""1103005"":50}","{""5500001"":50,""1103005"":50}"
5800005,"[1,1]",2,5,12,1,"{""5710006"":[500]}",25,50,75,100,{},{},{},{},"{""5500001"":50}","{""5500001"":50}","{""5500001"":50}","{""5500001"":50}","{""1103005"":50}","{""1103005"":50}","{""1103005"":50}","{""1103005"":50}","{""5500001"":50,""1103005"":50}","{""5500001"":50,""1103005"":50}","{""5500001"":50,""1103005"":50}","{""5500001"":50,""1103005"":50}"
5800006,"[2,2]",2,5,7,1,"{""5710001"":[500]}",25,50,75,100,{},{},{},{},"{""5500001"":50}","{""5500001"":50}","{""5500001"":50}","{""5500001"":50}","{""1103005"":50}","{""1103005"":50}","{""1103005"":50}","{""1103005"":50}","{""5500001"":50,""1103005"":50}","{""5500001"":50,""1103005"":50}","{""5500001"":50,""1103005"":50}","{""5500001"":50,""1103005"":50}"
5800007,"[2,2]",2,5,8,1,"{""5710002"":[500]}",25,50,75,100,{},{},{},{},"{""5500001"":108}","{""5500001"":144}","{""5500001"":180}","{""5500001"":252}","{""1103005"":108}","{""1103005"":144}","{""1103005"":180}","{""1103005"":252}","{""5500001"":108,""1103005"":108}","{""5500001"":144,""1103005"":144}","{""5500001"":180,""1103005"":180}","{""5500001"":252,""1103005"":252}"
5800008,"[2,2]",2,5,9,1,"{""5710003"":[500]}",25,50,75,100,{},{},{},{},"{""5500001"":50}","{""5500001"":50}","{""5500001"":50}","{""5500001"":50}","{""1103005"":50}","{""1103005"":50}","{""1103005"":50}","{""1103005"":50}","{""5500001"":50,""1103005"":50}","{""5500001"":50,""1103005"":50}","{""5500001"":50,""1103005"":50}","{""5500001"":50,""1103005"":50}"
5800010,"[2,2]",2,5,12,1,"{""5710006"":[500]}",25,50,75,100,{},{},{},{},"{""5500001"":50}","{""5500001"":50}","{""5500001"":50}","{""5500001"":50}","{""1103005"":50}","{""1103005"":50}","{""1103005"":50}","{""1103005"":50}","{""5500001"":50,""1103005"":50}","{""5500001"":50,""1103005"":50}","{""5500001"":50,""1103005"":50}","{""5500001"":50,""1103005"":50}"
5800011,"[3,3]",2,5,7,1,"{""5710001"":[500]}",25,50,75,100,{},{},{},{},"{""5500001"":50}","{""5500001"":50}","{""5500001"":50}","{""5500001"":50}","{""1103005"":50}","{""1103005"":50}","{""1103005"":50}","{""1103005"":50}","{""5500001"":50,""1103005"":50}","{""5500001"":50,""1103005"":50}","{""5500001"":50,""1103005"":50}","{""5500001"":50,""1103005"":50}"
5800012,"[3,3]",2,5,8,1,"{""5710002"":[500]}",25,50,75,100,{},{},{},{},"{""5500001"":135}","{""5500001"":180}","{""5500001"":225}","{""5500001"":315}","{""1103005"":135}","{""1103005"":180}","{""1103005"":225}","{""1103005"":315}","{""5500001"":135,""1103005"":135}","{""5500001"":180,""1103005"":180}","{""5500001"":225,""1103005"":225}","{""5500001"":315,""1103005"":315}"
5800013,"[3,3]",2,5,9,1,"{""5710003"":[500]}",25,50,75,100,{},{},{},{},"{""5500001"":50}","{""5500001"":50}","{""5500001"":50}","{""5500001"":50}","{""1103005"":50}","{""1103005"":50}","{""1103005"":50}","{""1103005"":50}","{""5500001"":50,""1103005"":50}","{""5500001"":50,""1103005"":50}","{""5500001"":50,""1103005"":50}","{""5500001"":50,""1103005"":50}"
5800014,"[3,3]",2,5,12,1,"{""5710006"":[500]}",25,50,75,100,{},{},{},{},"{""5500001"":50}","{""5500001"":50}","{""5500001"":50}","{""5500001"":50}","{""1103005"":50}","{""1103005"":50}","{""1103005"":50}","{""1103005"":50}","{""5500001"":50,""1103005"":50}","{""5500001"":50,""1103005"":50}","{""5500001"":50,""1103005"":50}","{""5500001"":50,""1103005"":50}"
5800015,"[4,4]",2,5,7,1,"{""5710001"":[500]}",25,50,75,100,{},{},{},{},"{""5500001"":50}","{""5500001"":50}","{""5500001"":50}","{""5500001"":50}","{""1103005"":50}","{""1103005"":50}","{""1103005"":50}","{""1103005"":50}","{""5500001"":50,""1103005"":50}","{""5500001"":50,""1103005"":50}","{""5500001"":50,""1103005"":50}","{""5500001"":50,""1103005"":50}"
