id,caster_releas,caster_interval,caster_object,caster_range,sing_time,cast_time,skill_range,skill_effect,damage_coefficient,attack_type,buff_id,pet_id,random_lattice,warning_time,action,aim_effect1,aim_effect_layer1,aim_effect2,aim_effect_layer2
1001,1,"[7,12]",2,3,3,0.5,0,1,[],1,6404001,0,0,0,magic,fushishu,1,,
1002,1,"[15,15]",0,4,4,0.5,0,2,[],1,0,3323002,2,0,magic,zhaohuankulou,3,,
1003,1,"[1,20]",1,0,3,0.5,0,1,[],1,6405001,0,0,0,magic,fanshang,1,,
1004,1,"[5,20]",0,4,3,0.5,3,3,"[2,2000]",1,0,0,22,3,magic,yujing,1,baofa,1
1005,1,"[1,20]",1,0,3,0.5,0,1,[],1,6406001,0,0,0,magic,6400001,3,,
1006,1,"[5,15]",2,1,0,0.5,0,3,"[2,2000]",1,0,0,0,0,shunpi,leidian,1,,
1007,1,"[5,15]",0,1,0,0.5,2,3,"[2,2000]",1,0,0,0,0,hengsao,leidian,1,,
1008,1,"[5,10]",2,4,3,0.5,0,2,"[2,2000]",1,0,0,0,2,magic,huoyin,1,,
1009,1,"[10,10]",0,4,4,0.5,0,2,[],1,0,3316002,1,0,magic,zhaohuankulou,3,,
1010,2,"[0,0]",0,0,0,0,2,2,[100000],1,0,0,0,3,,yujing,1,nengliangbaozha,1
