dungeon_task_id,dungeon_task_reward,dungeon_reward_material
3401001,{},"{""1101201"":90000,""1101202"":90000,""1101203"":90000,""1102003"":45000,""1102001"":45000,""1102004"":45000,}"
3401013,{},"{""1101201"":90000,""1101202"":90000,""1101203"":90000,""1102003"":45000,""1102001"":45000,""1102004"":45000,}"
3401014,{},"{""1101201"":90000,""1101202"":90000,""1101203"":90000,""1102003"":45000,""1102001"":45000,""1102004"":45000,}"
3401015,{},"{""1101201"":90000,""1101202"":90000,""1101203"":90000,""1102003"":45000,""1102001"":45000,""1102004"":45000,}"
3401016,{},"{""1101201"":90000,""1101202"":90000,""1101203"":90000,""1102003"":45000,""1102001"":45000,""1102004"":45000,}"
3401017,{},"{""1101201"":90000,""1101202"":90000,""1101203"":90000,""1102003"":45000,""1102001"":45000,""1102004"":45000,}"
3401018,{},"{""1101201"":90000,""1101202"":90000,""1101203"":90000,""1102003"":45000,""1102001"":45000,""1102004"":45000,}"
3401002,{},"{""1101201"":179400,""1101202"":179400,""1101203"":179400,""1102003"":86400,""1102001"":86400,""1102004"":86400,}"
3401003,{},"{""1101201"":291900,""1101202"":291900,""1101203"":291900,""1102003"":140400,""1102001"":140400,""1102004"":140400,}"
3401004,{},"{""1101201"":446100,""1101202"":446100,""1101203"":446100,""1102003"":214800,""1102001"":214800,""1102004"":214800,}"
3401005,{},"{""1101201"":1047900,""1101202"":1047900,""1101203"":1047900,""1102003"":504600,""1102001"":504600,""1102004"":504600,}"
3401006,{},"{""1101201"":1401000,""1101202"":1401000,""1101203"":1401000,""1102003"":494400,""1102001"":494400,""1102004"":494400,}"
3401007,{},"{""1101201"":1475700,""1101202"":1475700,""1101203"":1475700,""1102003"":444000,""1102001"":444000,""1102004"":444000,}"
3401008,{},"{""1101201"":1632600,""1101202"":1632600,""1101203"":1632600,""1102003"":436800,""1102001"":436800,""1102004"":436800,}"
3401009,{},"{""1101201"":1789200,""1101202"":1789200,""1101203"":1789200,""1102003"":432900,""1102001"":432900,""1102004"":432900,}"
3401010,{},"{""1101201"":1871400,""1101202"":1871400,""1101203"":1871400,""1102003"":598500,""1102001"":598500,""1102004"":598500,}"
3401011,{},"{""1101201"":2005500,""1101202"":2005500,""1101203"":2005500,""1102003"":591300,""1102001"":591300,""1102004"":591300,}"
3401012,{},"{""1101201"":2159100,""1101202"":2159100,""1101203"":2159100,""1102003"":585000,""1102001"":585000,""1102004"":585000,}"
3401019,{},"{""1101201"":2142000,""1101202"":2142000,""1101203"":2142000,""1102003"":541200,""1102001"":541200,""1102004"":541200,}"
3401020,{},"{""1101201"":2282100,""1101202"":2282100,""1101203"":2282100,""1102003"":543900,""1102001"":543900,""1102004"":543900,}"
3401021,{},"{""1101201"":2437200,""1101202"":2437200,""1101203"":2437200,""1102003"":544800,""1102001"":544800,""1102004"":544800,}"
3401022,{},"{""1101201"":2376900,""1101202"":2376900,""1101203"":2376900,""1102003"":508500,""1102001"":508500,""1102004"":508500,}"
3401023,{},"{""1101201"":2772900,""1101202"":2772900,""1101203"":2772900,""1102003"":697500,""1102001"":697500,""1102004"":697500,}"
3401024,{},"{""1101201"":2920200,""1101202"":2920200,""1101203"":2920200,""1102003"":705600,""1102001"":705600,""1102004"":705600,}"
3401025,{},"{""1101201"":2838600,""1101202"":2838600,""1101203"":2838600,""1102003"":698100,""1102001"":698100,""1102004"":698100,}"
3401026,{},"{""1101201"":2968800,""1101202"":2968800,""1101203"":2968800,""1102003"":1129500,""1102001"":1129500,""1102004"":1129500,}"
3401027,{},"{""1101201"":3140400,""1101202"":3140400,""1101203"":3140400,""1102003"":1184400,""1102001"":1184400,""1102004"":1184400,}"
