id,name,trigger_type,delay,condition,effect_type,effect_params
100001,dungeon_create_solider,1,0,,[1],"[[[2603101,[7,9],[8,10],50],[2603102,[10,10],[9,8],51]]]"
100002,dungeon_fail,1,180000,,[6],[[0]]
100003,dungeon_plot_begin,1,0,,"[10,4]","[[[0,0],1500,1200],[500001,1]]"
200001,arm_move_pass,2,0,"[0,[1,1],[2,2],[1,2],[2,3]]",[2],"[[1,5,1000,3000,[1,2],[4,5],[10,10]]]"
200002,monster_move_pass,2,0,"[1,[1,1],[2,2],[1,2],[2,3]]",[2],"[[0,5,1000,3000,[1,2],[4,5],[8,7]]]"
300001,monster_damage,3,0,"[50,0.1]",[7],[[3401003]]
300002,monster_die,3,0,"[51,0]",[7],[[3401003]]
400001,dungeon_finish_task_first,4,0,"[0,1000]",[7],[[3401001]]
400002,dungeon_finish_task_second,4,0,"[1,120000]",[7],[[3401002]]
500001,dungeon_plot_lock_view,5,0,,"[9,4]","[[[0,530],5000,2],[500002,1]]"
500002,dungeon_plot_confirm,5,0,,[11],"[[3000,0,0,0,0,500003]]"
500003,dungeon_plot_first,5,0,,[11],"[[3001,0,0,0,0,0]]"
600001,dungeon_solider_all_die,6,0,[0],[6],[[0]]
600002,dungeon_monster_all_die,6,0,[1],[5],[[0]]
