id,name,trigger_type,delay,condition,effect_type,effect_params,times,open,status
100001,dungeon_create_solider,1,0,,[1],"[[[3301101,[7,7],[0,0],50],[3303101,[9,6],[0,0],51],[3305201,[3,5],[0,0],52]]]",1,1,0
100002,dungeon_create_solider,1,0,,[1],"[[[3301101,[24,8],[0,0],53],[3303101,[19,7],[0,0],54],[3305201,[16,9],[0,0],55]]]",1,1,0
100003,dungeon_create_solider,1,0,,[1],"[[[3301101,[5,19],[0,0],56],[3303101,[7,17],[0,0],57],[3305201,[9,15],[0,0],58],[3305201,[13,18],[0,0],59]]]",1,1,0
100004,dungeon_plot_begin,1,0,,[10],"[[[0,0],2496,1473]]",1,1,0
100007,dungeon_plot_begin,1,0,,[9],"[[[690,0],0,6]]",1,1,0
600001,dungeon_solider_all_die,6,0,[0],[6],[[0]],1,1,0
400003,dungeon_finish_task,4,0,[2],[7],[[3401023]],1,1,0
600002,dungeon_monster_all_die,6,0,"[1,5]",[5],[[0]],1,1,0
2,name,1,0,,"[10,4,9,4]","[[[0,0],2500,1470],[4],[[690,0],0,8],[44]]",1,1,0
4,name,5,0,,"[12,12,4,4,12,12]","[['portal',101,1,1,1,500,[540,351]],['portal',102,1,1,1,500,[2025,409]],[11],[14],['portal',1000,2,1,1,500,[540,351]],['portal',1111,2,1,1,500,[2025,409]]]",10000,0,0
11,name,2,200,"[0,[6,6]]","[15,4,9]","[[22,7],[19],[[2025,409],1000,9]]",10000,0,0
14,name,2,200,"[0,[22,7]]","[15,4,9]","[[6,6],[19],[[540,468],1000,9]]",10000,0,0
19,name,5,0,,"[4,4,13,13,12,12,4,13,13]","[[11],[14],[101,1,500],[102,1,500],['portal',201,1,1,1,500,[540,351]],['portal',202,1,1,1,500,[2025,409]],[29],[1000,1,500],[1111,1,500]]",10000,0,0
29,name,5,5000,,"[13,13,4]","[[201,1,500],[202,1,500],[4]]",10000,0,0
44,name,5,0,,"[12,12,4,4,12,12]","[['portal',10,1,1,1,500,[1665,643]],['portal',11,1,1,1,500,[720,1170]],[51],[55],['portal',1233,2,1,1,500,[1665,643]],['portal',1234,2,1,1,500,[720,1170]]]",10000,0,0
51,name,2,0,"[0,[18,11]]","[15,4,9]","[[8,20],[60],[[720,1170],1000,9]]",10000,0,0
55,name,2,0,"[0,[8,20]]","[15,4,9]","[[18,11],[60],[[1665,643],0,9]]",10000,0,0
60,name,5,0,,"[4,4,13,13,12,12,4,13,13]","[[51],[55],[10,1,500],[11,1,500],['portal',1212,1,1,1,500,[1665,643]],['portal',1213,1,1,1,500,[720,1170]],[70],[1233,1,500],[1234,1,500]]",10000,0,0
70,name,5,5000,,"[13,13,4]","[[1212,1,500],[1213,1,500],[44]]",10000,0,0
