id,resource_circle,event_id,event_quantity,event_active_time,priority,event_class
1,1003,3101001,0.004,60,1,1
2,1003,3103001,0.004,60,1,1
3,1003,3104001,0.004,60,1,1
4,1003,3102001,0.004,60,1,1
6,1002,3101002,0.009,60,1,1
7,1002,3103002,0.009,60,1,1
8,1002,3104002,0.009,60,1,1
9,1002,3102002,0.009,60,1,1
11,1002,3101003,0.009,60,1,1
12,1002,3103003,0.009,60,1,1
13,1002,3104003,0.009,60,1,1
14,1002,3102003,0.009,60,1,1
16,1001,3101005,0.027,60,1,1
17,1001,3103005,0.027,60,1,1
18,1001,3104005,0.027,60,1,1
19,1001,3102004,0.027,60,1,1
31,1003,3200001,0.003,60,15,1
32,1003,3200002,0.0025,60,14,1
33,1003,3200003,0.002,60,13,1
34,1003,3200004,0.0016,60,12,1
35,1003,3200005,0.0016,60,11,1
36,1003,3200006,0.0015,60,10,1
37,1003,3200007,0.0015,60,9,1
38,1003,3200008,0.0012,60,8,1
39,1003,3200009,0.0012,60,7,1
40,1003,3200010,0.001,60,6,1
41,1003,3200011,0.001,60,5,1
42,1003,3200012,0.0008,60,4,1
43,1003,3200013,0.0008,60,3,1
44,1003,3200014,0.0005,60,2,1
45,1003,3200015,0.0004,60,1,1
46,1002,3200016,0.0075,60,10,1
47,1002,3200017,0.0046,60,9,1
48,1002,3200018,0.0037,60,8,1
49,1002,3200019,0.0028,60,7,1
50,1002,3200020,0.0023,60,6,1
51,1002,3200021,0.0019,60,5,1
52,1002,3200022,0.0019,60,4,1
53,1002,3200023,0.0014,60,3,1
54,1002,3200024,0.0014,60,2,1
55,1002,3200025,0.001,60,1,1
56,1001,3200026,0.028,60,5,1
57,1001,3200027,0.011,60,4,1
58,1001,3200028,0.008,60,3,1
59,1001,3200029,0.006,60,2,1
60,1001,3200030,0.003,60,1,1
61,1003,3106010,0.004,60,1,2
62,1002,3106011,0.009,60,1,2
63,1001,3106012,0.027,60,1,2
64,1003,3200031,0.004,60,1,3
65,1002,3200032,0.009,60,1,3
66,1001,3200033,0.027,60,1,3
67,1003,3200034,0.004,60,1,4
68,1002,3200035,0.009,60,1,4
69,1001,3200036,0.027,60,1,4
71,1003,3200038,0.003,60,15,1
72,1003,3200039,0.0025,60,14,1
73,1003,3200040,0.002,60,13,1
74,1003,3200041,0.0016,60,12,1
75,1003,3200042,0.0016,60,11,1
76,1003,3200043,0.0015,60,10,1
77,1003,3200044,0.0015,60,9,1
78,1003,3200045,0.0012,60,8,1
79,1003,3200046,0.0012,60,7,1
80,1003,3200047,0.001,60,6,1
81,1003,3200048,0.001,60,5,1
82,1003,3200049,0.0008,60,4,1
83,1003,3200050,0.0008,60,3,1
84,1003,3200051,0.0005,60,2,1
85,1003,3200052,0.0004,60,1,1
86,1002,3200053,0.0075,60,10,1
87,1002,3200054,0.0046,60,9,1
88,1002,3200055,0.0037,60,8,1
89,1002,3200056,0.0028,60,7,1
90,1002,3200057,0.0023,60,6,1
91,1002,3200058,0.0019,60,5,1
92,1002,3200059,0.0019,60,4,1
93,1002,3200060,0.0014,60,3,1
94,1002,3200061,0.0014,60,2,1
95,1002,3200062,0.001,60,1,1
96,1001,3200063,0.028,60,5,1
97,1001,3200064,0.011,60,4,1
98,1001,3200065,0.008,60,3,1
99,1001,3200066,0.006,60,2,1
100,1001,3200067,0.003,60,1,1
