event_id,event_level,resource_id,resource_number,event_buff,land_id
3101001,1,1102001,10000,0,"[1601001,1602001,1603001]"
3101002,2,1102001,20000,0,"[1601001,1602001,1603001]"
3101003,3,1102001,30000,0,"[1601001,1602001,1603001]"
3101004,4,1102001,50000,0,"[1601001,1602001,1603001]"
3101005,5,1102001,100000,0,"[1601001,1602001,1603001]"
3101006,6,1102001,200000,0,"[1601001,1602001,1603001]"
3101007,7,1102001,300000,0,"[1601001,1602001,1603001]"
3101008,8,1102001,500000,0,"[1601001,1602001,1603001]"
3101009,9,1102001,1000000,0,"[1601001,1602001,1603001]"
3101010,10,1102001,2000000,0,"[1601001,1602001,1603001]"
3102001,1,1102002,1000,0,"[1601001,1602001,1603001]"
3102002,2,1102002,2000,0,"[1601001,1602001,1603001]"
3102003,3,1102002,3000,0,"[1601001,1602001,1603001]"
3102004,4,1102002,5000,0,"[1601001,1602001,1603001]"
3102005,5,1102002,10000,0,"[1601001,1602001,1603001]"
3102006,6,1102002,20000,0,"[1601001,1602001,1603001]"
3102007,7,1102002,30000,0,"[1601001,1602001,1603001]"
3102008,8,1102002,50000,0,"[1601001,1602001,1603001]"
3102009,9,1102002,100000,0,"[1601001,1602001,1603001]"
3102010,10,1102002,200000,0,"[1601001,1602001,1603001]"
3103001,1,1102003,10000,0,"[1601001,1602001,1603001]"
3103002,2,1102003,20000,0,"[1601001,1602001,1603001]"
3103003,3,1102003,30000,0,"[1601001,1602001,1603001]"
3103004,4,1102003,50000,0,"[1601001,1602001,1603001]"
3103005,5,1102003,100000,0,"[1601001,1602001,1603001]"
3103006,6,1102003,200000,0,"[1601001,1602001,1603001]"
3103007,7,1102003,300000,0,"[1601001,1602001,1603001]"
3103008,8,1102003,500000,0,"[1601001,1602001,1603001]"
3103009,9,1102003,1000000,0,"[1601001,1602001,1603001]"
3103010,10,1102003,2000000,0,"[1601001,1602001,1603001]"
3104001,1,1102004,10000,0,"[1601001,1602001,1603001]"
3104002,2,1102004,20000,0,"[1601001,1602001,1603001]"
3104003,3,1102004,30000,0,"[1601001,1602001,1603001]"
3104004,4,1102004,50000,0,"[1601001,1602001,1603001]"
3104005,5,1102004,100000,0,"[1601001,1602001,1603001]"
3104006,6,1102004,200000,0,"[1601001,1602001,1603001]"
3104007,7,1102004,300000,0,"[1601001,1602001,1603001]"
3104008,8,1102004,500000,0,"[1601001,1602001,1603001]"
3104009,9,1102004,1000000,0,"[1601001,1602001,1603001]"
3104010,10,1102004,2000000,0,"[1601001,1602001,1603001]"
3105001,1,1103002,100,0,"[1601001,1602001,1603001]"
3105002,2,1103002,200,0,"[1601001,1602001,1603001]"
3105003,3,1103002,300,0,"[1601001,1602001,1603001]"
3105004,4,1103002,500,0,"[1601001,1602001,1603001]"
3105005,5,1103002,1000,0,"[1601001,1602001,1603001]"
3105006,6,1103002,2000,0,"[1601001,1602001,1603001]"
3105007,7,1103002,3000,0,"[1601001,1602001,1603001]"
3105008,8,1103002,5000,0,"[1601001,1602001,1603001]"
3105009,9,1103002,10000,0,"[1601001,1602001,1603001]"
3105010,10,1103002,20000,0,"[1601001,1602001,1603001]"
