affix_id,properties_id,properties_range,level,position,probability
100001,6200001,"[10000,50000]",1,1,50
100002,6200002,"[30000,60000]",2,2,100
100003,6200003,"[100000,150000]",3,3,60
100004,6200001,"[100000,500000]",10,1,1010
100005,6200002,"[130000,160000]",15,2,22
100006,6200003,"[100000,150000]",3,3,55
100007,6200001,"[30000,60000]",3,3,55
100008,6200002,"[130000,160000]",3,3,56
100009,6200003,"[10000,50000]",10,1,99
100010,6200001,"[100000,500000]",2,2,33
100011,6200002,"[1000000,1500000]",15,2,77
