material_id,number,producible,lock_material_id,item_id,weight_id,system_id,autoinc_type,autoinc_time,autoinc_step,autoinc_bound,weight,trade
1101001,100000,1,1101101,2201004,2500096,2500135,none,0,0,0,1,1101201
1101002,100000,1,1101102,2202004,2500097,2500136,none,0,0,0,1,1101202
1101003,100000,1,1101103,2203004,2500098,2500137,none,0,0,0,1,1101203
1101004,10000,0,0,0,0,0,none,0,0,0,1,0
1102001,100000,0,1102101,2206002,2500099,2500138,none,0,0,0,1,0
1102002,100000,0,1102102,2205002,2500100,2500139,none,0,0,0,100,0
1102003,100000,0,1102103,2207002,2500101,2500140,none,0,0,0,1,0
1102004,100000,0,1102104,2208002,2500102,2500141,none,0,0,0,1,0
1103002,0,0,1103102,2210001,2500134,2500142,none,0,0,0,100,0
1105001,0,0,0,0,0,0,periodic,30,1,10,0,0
