trading_id,obtain_item
2910002,"{""1103001"":5000000,""1103003"":2500000,""2201004"":200,""2202004"":150,""2203004"":150}"
2910003,"{""1103001"":5000000,""1103003"":2500000,""2201004"":200,""2202004"":150,""2203004"":150}"
2910004,"{""1103001"":5000000,""1103003"":2500000,""2201004"":200,""2202004"":150,""2203004"":150}"
2910005,"{""1103001"":5000000,""1103003"":2500000,""2201004"":200,""2202004"":150,""2203004"":150}"
2910006,"{""1103001"":10000000,""1103003"":5000000,""2201004"":480,""2202004"":360,""2203004"":360}"
2910007,"{""1103001"":10000000,""1103003"":5000000,""2201004"":480,""2202004"":360,""2203004"":360}"
2910008,"{""1103001"":10000000,""1103003"":5000000,""2201004"":480,""2202004"":360,""2203004"":360}"
2910009,"{""1103001"":10000000,""1103003"":5000000,""2201004"":480,""2202004"":360,""2203004"":360}"
2910010,"{""1103001"":10000000,""1103003"":5000000,""2201004"":480,""2202004"":360,""2203004"":360}"
2910011,"{""1103001"":20000000,""1103003"":10000000,""2201004"":1120,""2202004"":840,""2203004"":840}"
2910012,"{""1103001"":20000000,""1103003"":10000000,""2201004"":1120,""2202004"":840,""2203004"":840}"
2910013,"{""1103001"":20000000,""1103003"":10000000,""2201004"":1120,""2202004"":840,""2203004"":840}"
2910014,"{""1103001"":20000000,""1103003"":10000000,""2201004"":1120,""2202004"":840,""2203004"":840}"
2910015,"{""1103001"":20000000,""1103003"":10000000,""2201004"":1120,""2202004"":840,""2203004"":840}"
2910016,"{""1103001"":30000000,""1103003"":15000000,""2201004"":1920,""2202004"":1440,""2203004"":1440}"
2910017,"{""1103001"":30000000,""1103003"":15000000,""2201004"":1920,""2202004"":1440,""2203004"":1440}"
2910018,"{""1103001"":30000000,""1103003"":15000000,""2201004"":1920,""2202004"":1440,""2203004"":1440}"
2910019,"{""1103001"":30000000,""1103003"":15000000,""2201004"":1920,""2202004"":1440,""2203004"":1440}"
2910020,"{""1103001"":30000000,""1103003"":15000000,""2201004"":1920,""2202004"":1440,""2203004"":1440}"
2910021,"{""1103001"":50000000,""1103003"":25000000,""2201004"":3600,""2202004"":2700,""2203004"":2700}"
2910022,"{""1103001"":50000000,""1103003"":25000000,""2201004"":3600,""2202004"":2700,""2203004"":2700}"
2910023,"{""1103001"":50000000,""1103003"":25000000,""2201004"":3600,""2202004"":2700,""2203004"":2700}"
2910024,"{""1103001"":50000000,""1103003"":25000000,""2201004"":3600,""2202004"":2700,""2203004"":2700}"
2910025,"{""1103001"":50000000,""1103003"":25000000,""2201004"":3600,""2202004"":2700,""2203004"":2700}"
2910026,"{""1103001"":100000000,""1103003"":50000000,""2201004"":8000,""2202004"":6000,""2203004"":6000}"
2910027,"{""1103001"":100000000,""1103003"":50000000,""2201004"":8000,""2202004"":6000,""2203004"":6000}"
2910028,"{""1103001"":100000000,""1103003"":50000000,""2201004"":8000,""2202004"":6000,""2203004"":6000}"
2910029,"{""1103001"":100000000,""1103003"":50000000,""2201004"":8000,""2202004"":6000,""2203004"":6000}"
2910030,"{""1103001"":100000000,""1103003"":50000000,""2201004"":8000,""2202004"":6000,""2203004"":6000}"
2910031,"{""1101001"":10000}"
2910032,"{""1103001"":5000000,""1103003"":2500000,""2201004"":200,""2202004"":150,""2203004"":150}"
2910033,"{""1103001"":5000000,""1103003"":2500000,""2201004"":200,""2202004"":150,""2203004"":150}"
2910034,"{""1103001"":5000000,""1103003"":2500000,""2201004"":200,""2202004"":150,""2203004"":150}"
2910035,"{""1103001"":5000000,""1103003"":2500000,""2201004"":200,""2202004"":150,""2203004"":150}"
2910036,"{""1103001"":10000000,""1103003"":5000000,""2201004"":480,""2202004"":360,""2203004"":360}"
2910037,"{""1103001"":10000000,""1103003"":5000000,""2201004"":480,""2202004"":360,""2203004"":360}"
2910038,"{""1103001"":10000000,""1103003"":5000000,""2201004"":480,""2202004"":360,""2203004"":360}"
2910039,"{""1103001"":10000000,""1103003"":5000000,""2201004"":480,""2202004"":360,""2203004"":360}"
2910040,"{""1103001"":10000000,""1103003"":5000000,""2201004"":480,""2202004"":360,""2203004"":360}"
2910041,"{""1103001"":20000000,""1103003"":10000000,""2201004"":1120,""2202004"":840,""2203004"":840}"
2910042,"{""1103001"":20000000,""1103003"":10000000,""2201004"":1120,""2202004"":840,""2203004"":840}"
2910043,"{""1103001"":20000000,""1103003"":10000000,""2201004"":1120,""2202004"":840,""2203004"":840}"
2910044,"{""1103001"":20000000,""1103003"":10000000,""2201004"":1120,""2202004"":840,""2203004"":840}"
2910045,"{""1103001"":20000000,""1103003"":10000000,""2201004"":1120,""2202004"":840,""2203004"":840}"
2910046,"{""1103001"":30000000,""1103003"":15000000,""2201004"":1920,""2202004"":1440,""2203004"":1440}"
2910047,"{""1103001"":30000000,""1103003"":15000000,""2201004"":1920,""2202004"":1440,""2203004"":1440}"
2910048,"{""1103001"":30000000,""1103003"":15000000,""2201004"":1920,""2202004"":1440,""2203004"":1440}"
2910049,"{""1103001"":30000000,""1103003"":15000000,""2201004"":1920,""2202004"":1440,""2203004"":1440}"
2910050,"{""1103001"":30000000,""1103003"":15000000,""2201004"":1920,""2202004"":1440,""2203004"":1440}"
2910051,"{""1103001"":50000000,""1103003"":25000000,""2201004"":3600,""2202004"":2700,""2203004"":2700}"
2910052,"{""1103001"":50000000,""1103003"":25000000,""2201004"":3600,""2202004"":2700,""2203004"":2700}"
2910053,"{""1103001"":50000000,""1103003"":25000000,""2201004"":3600,""2202004"":2700,""2203004"":2700}"
2910054,"{""1103001"":50000000,""1103003"":25000000,""2201004"":3600,""2202004"":2700,""2203004"":2700}"
2910055,"{""1103001"":50000000,""1103003"":25000000,""2201004"":3600,""2202004"":2700,""2203004"":2700}"
2910056,"{""1103001"":100000000,""1103003"":50000000,""2201004"":8000,""2202004"":6000,""2203004"":6000}"
2910057,"{""1103001"":100000000,""1103003"":50000000,""2201004"":8000,""2202004"":6000,""2203004"":6000}"
2910058,"{""1103001"":100000000,""1103003"":50000000,""2201004"":8000,""2202004"":6000,""2203004"":6000}"
2910059,"{""1103001"":100000000,""1103003"":50000000,""2201004"":8000,""2202004"":6000,""2203004"":6000}"
2910060,"{""1103001"":100000000,""1103003"":50000000,""2201004"":8000,""2202004"":6000,""2203004"":6000}"
2902001,"{""1101001"":60000,""1101002"":60000,""1101003"":60000}"
2902002,"{""1101001"":82400,""1101002"":82400,""1101003"":82400}"
2902003,"{""1101001"":134000,""1101002"":134000,""1101003"":134000}"
2902004,"{""1101001"":307200,""1101002"":307200,""1101003"":307200}"
2902005,"{""1101001"":721800,""1101002"":721800,""1101003"":721800}"
2902006,"{""1101001"":991200,""1101002"":991200,""1101003"":991200}"
2902007,"{""1101001"":1462400,""1101002"":1462400,""1101003"":1462400}"
2902008,"{""1101001"":1585600,""1101002"":1585600,""1101003"":1585600}"
2902009,"{""1101001"":1700400,""1101002"":1700400,""1101003"":1700400}"
2902010,"{""1101001"":2301500,""1101002"":2301500,""1101003"":2301500}"
2902011,"{""1101001"":2415500,""1101002"":2415500,""1101003"":2415500}"
2902012,"{""1101001"":2542500,""1101002"":2542500,""1101003"":2542500}"
2903001,"{""1102003"":30000,""1102001"":30000,""1102004"":30000}"
2903002,"{""1102003"":36600,""1102001"":36600,""1102004"":36600}"
2903003,"{""1102003"":59600,""1102001"":59600,""1102004"":59600}"
2903004,"{""1102003"":136800,""1102001"":136800,""1102004"":136800}"
2903005,"{""1102003"":321300,""1102001"":321300,""1102004"":321300}"
2903006,"{""1102003"":340200,""1102001"":340200,""1102004"":340200}"
2903007,"{""1102003"":430400,""1102001"":430400,""1102004"":430400}"
2903008,"{""1102003"":417200,""1102001"":417200,""1102004"":417200}"
2903009,"{""1102003"":405600,""1102001"":405600,""1102004"":405600}"
2903010,"{""1102003"":710000,""1102001"":710000,""1102004"":710000}"
2903011,"{""1102003"":690500,""1102001"":690500,""1102004"":690500}"
2903012,"{""1102003"":671000,""1102001"":671000,""1102004"":671000}"
2904001,"{""1101001"":30000,""1101002"":30000,""1101003"":30000}"
2904002,"{""1101001"":41200,""1101002"":41200,""1101003"":41200}"
2904003,"{""1101001"":67000,""1101002"":67000,""1101003"":67000}"
2904004,"{""1101001"":102400,""1101002"":102400,""1101003"":102400}"
2904005,"{""1101001"":240600,""1101002"":240600,""1101003"":240600}"
2904006,"{""1101001"":330400,""1101002"":330400,""1101003"":330400}"
2904007,"{""1101001"":365600,""1101002"":365600,""1101003"":365600}"
2904008,"{""1101001"":396400,""1101002"":396400,""1101003"":396400}"
2904009,"{""1101001"":425100,""1101002"":425100,""1101003"":425100}"
2904010,"{""1101001"":460300,""1101002"":460300,""1101003"":460300}"
2904011,"{""1101001"":483100,""1101002"":483100,""1101003"":483100}"
2904012,"{""1101001"":508500,""1101002"":508500,""1101003"":508500}"
2905001,"{""1102003"":15000,""1102001"":15000,""1102004"":15000}"
2905002,"{""1102003"":18300,""1102001"":18300,""1102004"":18300}"
2905003,"{""1102003"":29800,""1102001"":29800,""1102004"":29800}"
2905004,"{""1102003"":45600,""1102001"":45600,""1102004"":45600}"
2905005,"{""1102003"":107100,""1102001"":107100,""1102004"":107100}"
2905006,"{""1102003"":113400,""1102001"":113400,""1102004"":113400}"
2905007,"{""1102003"":107600,""1102001"":107600,""1102004"":107600}"
2905008,"{""1102003"":104300,""1102001"":104300,""1102004"":104300}"
2905009,"{""1102003"":101400,""1102001"":101400,""1102004"":101400}"
2905010,"{""1102003"":142000,""1102001"":142000,""1102004"":142000}"
2905011,"{""1102003"":138100,""1102001"":138100,""1102004"":138100}"
2905012,"{""1102003"":134200,""1102001"":134200,""1102004"":134200}"
