trading_id,consumption_item,obtain_item
2806001,"{""2100005"":1}","{""2201001"":1,""2202002"":1,""2203001"":1}"
2806002,"{""2100006"":1}","{""2201001"":2,""2202002"":2,""2203001"":2}"
2806003,"{""2100007"":1}","{""2201001"":3,""2202002"":3,""2203001"":3}"
2806004,"{""2100008"":1}","{""2201001"":4,""2202002"":4,""2203001"":4}"
2806005,"{""2100009"":1}","{""2201001"":5,""2202002"":5,""2203001"":5}"
2806006,"{""2100010"":1}","{""2201001"":6,""2202002"":6,""2203001"":6}"
2806007,"{""2100011"":1}","{""2201001"":7,""2202002"":7,""2203001"":7}"
2806008,"{""2100012"":1}","{""2201001"":8,""2202002"":8,""2203001"":8}"
2806009,"{""2100013"":1}","{""2201001"":9,""2202002"":9,""2203001"":9}"
2806010,"{""2100014"":1}","{""2201001"":10,""2202002"":10,""2203001"":10}"
2806011,"{""2100015"":1}","{""2201001"":11,""2202002"":11,""2203001"":11}"
2806012,"{""2100016"":1}","{""2201001"":12,""2202002"":12,""2203001"":12}"
2806013,"{""2100017"":1}","{""2201001"":13,""2202002"":13,""2203001"":13}"
2806014,"{""2100018"":1}","{""2201001"":14,""2202002"":14,""2203001"":14}"
2806015,"{""2100019"":1}","{""2201001"":15,""2202002"":15,""2203001"":15}"
2803001,"{""1103004"":1000}","{""2100005"":1}"
2803002,"{""1103004"":2000}","{""2100006"":1}"
2803003,"{""1103004"":3000}","{""2100007"":1}"
2803004,"{""1103004"":4000}","{""2100008"":1}"
2803005,"{""1103004"":5000}","{""2100009"":1}"
2803006,"{""1103004"":6000}","{""2100010"":1}"
2803007,"{""1103004"":7000}","{""2100011"":1}"
2803008,"{""1103004"":8000}","{""2100012"":1}"
2803009,"{""1103004"":9000}","{""2100013"":1}"
2803010,"{""1103004"":10000}","{""2100014"":1}"
2803011,"{""1103004"":11000}","{""2100015"":1}"
2803012,"{""1103004"":12000}","{""2100016"":1}"
2803013,"{""1103004"":13000}","{""2100017"":1}"
2803014,"{""1103004"":14000}","{""2100018"":1}"
2803015,"{""1103004"":15000}","{""2100019"":1}"
2807001,"{""1103003"":1000}","{""2100005"":1}"
2807002,"{""1103003"":2000}","{""2100006"":1}"
2807003,"{""1103003"":3000}","{""2100007"":1}"
2807004,"{""1103003"":4000}","{""2100008"":1}"
2807005,"{""1103003"":5000}","{""2100009"":1}"
2807006,"{""1103003"":6000}","{""2100010"":1}"
2807007,"{""1103003"":7000}","{""2100011"":1}"
2807008,"{""1103003"":8000}","{""2100012"":1}"
2807009,"{""1103003"":9000}","{""2100013"":1}"
2807010,"{""1103003"":10000}","{""2100014"":1}"
2807011,"{""1103003"":11000}","{""2100015"":1}"
2807012,"{""1103003"":12000}","{""2100016"":1}"
2807013,"{""1103003"":13000}","{""2100017"":1}"
2807014,"{""1103003"":14000}","{""2100018"":1}"
2807015,"{""1103003"":15000}","{""2100019"":1}"
2802001,{},"{""1103003"":10000}"
2802002,{},"{""1103003"":20000}"
2802003,{},"{""1103003"":30000}"
2802004,{},"{""1103003"":40000}"
2802005,{},"{""1103003"":50000}"
2801001,"{""1103003"":10000}","{""1103001"":100}"
2801002,"{""1103003"":20000}","{""1103001"":200}"
2801003,"{""1103003"":30000}","{""1103001"":300}"
2801004,"{""1103003"":40000}","{""1103001"":400}"
2801005,"{""1103003"":50000}","{""1103001"":500}"
2808001,"{""1103004"":10000}","{""1103001"":100}"
2808002,"{""1103004"":20000}","{""1103001"":200}"
2808003,"{""1103004"":30000}","{""1103001"":300}"
2808004,"{""1103004"":40000}","{""1103001"":400}"
2808005,"{""1103004"":50000}","{""1103001"":500}"
2804001,"{""1103001"":1}","{""2100021"":1}"
2805001,"{""2100020"":1}","{""2201001"":1}"
2805002,"{""2100020"":1}","{""2201001"":2}"
2805003,"{""2100020"":1}","{""2201001"":3}"
2805004,"{""2100020"":1}","{""2201001"":4}"
2805005,"{""2100020"":1}","{""2201001"":5}"
2805006,"{""2100020"":1}","{""2201001"":6}"
2805007,"{""2100020"":1}","{""2204001"":10}"
2804014,"{""2100032"":1}",{}
2804013,"{""1103001"":100}","{""2100032"":1}"
2804015,"{""1103001"":1}",{}
2804016,"{""1103001"":1}",{}
2804017,"{""1103001"":100}","{""1207001"":1}"
2804018,"{""1103001"":1000}",{}
2810001,"{""1103003"":50000}","{""2100033"":1}"
2811001,"{""1103004"":50000}","{""2100033"":1}"
2901001,"{""2204001"":1}","{""1103001"":10}"
