coord,territory_id
"[0,0]",1603001
"[1,0]",1603001
"[2,0]",1603001
"[3,0]",1603001
"[4,0]",1603001
"[5,0]",1603001
"[6,0]",1603001
"[7,0]",1603001
"[8,0]",1603001
"[9,0]",1603001
"[10,0]",1603001
"[11,0]",1603001
"[12,0]",1603001
"[13,0]",1603001
"[14,0]",1603001
"[15,0]",1603001
"[16,0]",1603001
"[17,0]",1603001
"[18,0]",1603001
"[19,0]",1603001
"[20,0]",1603001
"[21,0]",1603001
"[22,0]",1603001
"[23,0]",1603001
"[24,0]",1603001
"[25,0]",1603001
"[26,0]",1603001
"[27,0]",1603001
"[28,0]",1603001
"[29,0]",1603001
"[30,0]",1603001
"[31,0]",1603001
"[32,0]",1603001
"[33,0]",1603001
"[34,0]",1603001
"[35,0]",1603001
"[36,0]",1603001
"[37,0]",1603001
"[38,0]",1603001
"[39,0]",1603001
"[40,0]",1603001
"[41,0]",1603001
"[42,0]",1603001
"[43,0]",1603001
"[44,0]",1603001
"[45,0]",1603001
"[46,0]",1603001
"[47,0]",1603001
"[48,0]",1603001
"[49,0]",1603001
"[50,0]",1603001
"[51,0]",1603001
"[52,0]",1603001
"[53,0]",1603001
"[54,0]",1603001
"[55,0]",1603001
"[56,0]",1603001
"[57,0]",1603001
"[58,0]",1603001
"[59,0]",1603001
"[60,0]",1603001
"[61,0]",1603001
"[62,0]",1603001
"[63,0]",1603001
"[64,0]",1603001
"[65,0]",1603001
"[66,0]",1603001
"[67,0]",1603001
"[68,0]",1603001
"[69,0]",1603001
"[70,0]",1603001
"[71,0]",1603001
"[72,0]",1603001
"[73,0]",1603001
"[74,0]",1603001
"[75,0]",1603001
"[76,0]",1603001
"[77,0]",1603001
"[78,0]",1603001
"[79,0]",1603001
"[80,0]",1603001
"[81,0]",1603001
"[82,0]",1603001
"[83,0]",1603001
"[84,0]",1603001
"[85,0]",1603001
"[86,0]",1603001
"[87,0]",1603001
"[88,0]",1603001
"[89,0]",1603001
"[90,0]",1603001
"[91,0]",1603001
"[92,0]",1603001
"[93,0]",1603001
"[94,0]",1603001
"[95,0]",1603001
"[96,0]",1603001
"[97,0]",1603001
"[98,0]",1603001
"[99,0]",1603001
"[100,0]",1603001
"[101,0]",1603001
"[102,0]",1603001
"[103,0]",1603001
"[104,0]",1603001
"[105,0]",1603001
"[106,0]",1603001
"[107,0]",1603001
"[108,0]",1603001
"[109,0]",1603001
"[110,0]",1603001
"[111,0]",1603001
"[112,0]",1603001
"[113,0]",1603001
"[114,0]",1603001
"[115,0]",1603001
"[116,0]",1603001
"[117,0]",1603001
"[118,0]",1603001
"[119,0]",1603001
"[120,0]",1603001
"[121,0]",1603001
"[122,0]",1603001
"[123,0]",1603001
"[124,0]",1603001
"[125,0]",1603001
"[126,0]",1603001
"[127,0]",1603001
"[128,0]",1603001
"[129,0]",1603001
"[130,0]",1603001
"[131,0]",1603001
"[132,0]",1603001
"[133,0]",1603001
"[134,0]",1603001
"[135,0]",1603001
"[136,0]",1603001
