id,name,probability,item
1,6010001,25,"{""1101201"":2}"
2,6010001,25,"{""1101202"":2}"
3,6010001,25,"{""1101203"":2}"
4,6010002,25,"{""2100021"":2}"
5,6010003,25,"{""2001001"":2}"
6,6010004,25,"{""1101201"":5}"
7,6010004,25,"{""1101202"":5}"
8,6010004,25,"{""1101203"":5}"
9,6010005,25,"{""2100021"":5}"
10,6010006,25,"{""2001001"":5}"
11,6010007,25,"{""1101201"":10}"
12,6010007,25,"{""1101202"":10}"
13,6010007,25,"{""1101203"":10}"
14,6010008,25,"{""2100021"":10}"
15,6010009,25,"{""2001001"":10}"
