task_id,task_last,task_city,task_class,task_type,accumulation,task_need,task_reward
3019001,0,3,1,13,0,"{""3400001"":[1]}","{""1103001"":500}"
3019002,3019001,3,1,13,0,"{""3400002"":[1]}","{""1103001"":501}"
3019003,3019002,3,1,13,0,"{""3400003"":[1]}","{""1103001"":502}"
3019004,3019003,3,1,13,0,"{""3400004"":[1]}","{""1103001"":503}"
3019005,3019004,3,1,13,0,"{""3400005"":[1]}","{""1103001"":504}"
3019006,3019005,3,1,13,0,"{""3400006"":[1]}","{""1103001"":505}"
3010001,3019006,1,1,1,0,"{""1901001"":[1,2]}","{""1101201"":42000,""1101202"":42000,""1101203"":42000,""1102003"":25000,""1102001"":25000,""1102004"":25000}"
3010002,3010001,1,1,1,0,"{""1906001"":[1,2]}","{""1101201"":42000,""1101202"":42000,""1101203"":42000,""1102003"":25000,""1102001"":25000,""1102004"":25000}"
3010003,3010002,1,1,1,0,"{""1903001"":[1,2]}","{""1101201"":42000,""1101202"":42000,""1101203"":42000,""1102003"":25000,""1102001"":25000,""1102004"":25000}"
3010004,3010003,1,1,1,0,"{""1907001"":[1,2]}","{""1101201"":42000,""1101202"":42000,""1101203"":42000,""1102003"":25000,""1102001"":25000,""1102004"":25000}"
3010005,3010004,1,1,1,0,"{""1909001"":[1,2]}","{""1101201"":42000,""1101202"":42000,""1101203"":42000,""1102003"":25000,""1102001"":25000,""1102004"":25000}"
3010006,3010005,1,1,1,0,"{""1904001"":[1,2]}","{""1101201"":42000,""1101202"":42000,""1101203"":42000,""1102003"":25000,""1102001"":25000,""1102004"":25000}"
3010007,3010006,1,1,1,0,"{""1902002"":[1,2]}","{""1101201"":42000,""1101202"":42000,""1101203"":42000,""1102003"":25000,""1102001"":25000,""1102004"":25000}"
3010008,3010007,1,1,1,0,"{""1902003"":[1,2]}","{""1101201"":42000,""1101202"":42000,""1101203"":42000,""1102003"":25000,""1102001"":25000,""1102004"":25000}"
3010009,3010008,1,1,1,0,"{""1902001"":[1,2]}","{""1101201"":42000,""1101202"":42000,""1101203"":42000,""1102003"":25000,""1102001"":25000,""1102004"":25000}"
3010010,3010009,1,1,1,0,"{""1902004"":[1,2]}","{""1101201"":42000,""1101202"":42000,""1101203"":42000,""1102003"":25000,""1102001"":25000,""1102004"":25000}"
3010011,3010010,1,1,1,0,"{""1913001"":[1,2]}","{""1101201"":42000,""1101202"":42000,""1101203"":42000,""1102003"":25000,""1102001"":25000,""1102004"":25000}"
3010012,3010011,1,1,4,1,"{""1201101"":[100]}","{""1101201"":20000,""1101202"":20000,""1101203"":20000,""1102003"":10000,""1102001"":10000,""1102004"":10000}"
3010013,3010012,1,1,4,1,"{""1201201"":[100]}","{""1101201"":20000,""1101202"":20000,""1101203"":20000,""1102003"":10000,""1102001"":10000,""1102004"":10000}"
3010014,3010013,1,1,4,1,"{""1203101"":[100]}","{""1101201"":20000,""1101202"":20000,""1101203"":20000,""1102003"":10000,""1102001"":10000,""1102004"":10000}"
3010015,3010014,1,1,4,1,"{""1203201"":[100]}","{""1101201"":20000,""1101202"":20000,""1101203"":20000,""1102003"":10000,""1102001"":10000,""1102004"":10000}"
3010016,3010015,1,1,4,1,"{""1202101"":[100]}","{""1101201"":20000,""1101202"":20000,""1101203"":20000,""1102003"":10000,""1102001"":10000,""1102004"":10000}"
3010017,3010016,1,1,4,1,"{""1202201"":[100]}","{""1101201"":20000,""1101202"":20000,""1101203"":20000,""1102003"":10000,""1102001"":10000,""1102004"":10000}"
3010018,3010017,1,1,4,1,"{""1204101"":[100]}","{""1101201"":49000,""1101202"":49000,""1101203"":49000,""1102003"":26000,""1102001"":26000,""1102004"":26000}"
3010024,3010018,1,1,1,0,"{""1901001"":[1,3]}","{""1101201"":49000,""1101202"":49000,""1101203"":49000,""1102003"":26000,""1102001"":26000,""1102004"":26000}"
3010025,3010024,1,1,1,0,"{""1906001"":[1,3]}","{""1101201"":49000,""1101202"":49000,""1101203"":49000,""1102003"":26000,""1102001"":26000,""1102004"":26000}"
3010026,3010025,1,1,1,0,"{""1903001"":[1,3]}","{""1101201"":49000,""1101202"":49000,""1101203"":49000,""1102003"":26000,""1102001"":26000,""1102004"":26000}"
3010027,3010026,1,1,1,0,"{""1907001"":[1,3]}","{""1101201"":49000,""1101202"":49000,""1101203"":49000,""1102003"":26000,""1102001"":26000,""1102004"":26000}"
3010028,3010027,1,1,1,0,"{""1909001"":[1,3]}","{""1101201"":49000,""1101202"":49000,""1101203"":49000,""1102003"":26000,""1102001"":26000,""1102004"":26000}"
3010029,3010028,1,1,1,0,"{""1904001"":[1,3]}","{""1101201"":49000,""1101202"":49000,""1101203"":49000,""1102003"":26000,""1102001"":26000,""1102004"":26000}"
3010030,3010029,1,1,1,0,"{""1902002"":[1,3]}","{""1101201"":49000,""1101202"":49000,""1101203"":49000,""1102003"":26000,""1102001"":26000,""1102004"":26000}"
3010031,3010030,1,1,1,0,"{""1902003"":[1,3]}","{""1101201"":49000,""1101202"":49000,""1101203"":49000,""1102003"":26000,""1102001"":26000,""1102004"":26000}"
3010032,3010031,1,1,1,0,"{""1902001"":[1,3]}","{""1101201"":49000,""1101202"":49000,""1101203"":49000,""1102003"":26000,""1102001"":26000,""1102004"":26000}"
3010033,3010032,1,1,1,0,"{""1902004"":[1,3]}","{""1101201"":49000,""1101202"":49000,""1101203"":49000,""1102003"":26000,""1102001"":26000,""1102004"":26000}"
3010034,3010033,1,1,1,0,"{""1913001"":[1,3]}","{""1101201"":82000,""1101202"":82000,""1101203"":82000,""1102003"":43000,""1102001"":43000,""1102004"":43000}"
3010035,3010034,1,1,1,0,"{""1901001"":[1,4]}","{""1101201"":82000,""1101202"":82000,""1101203"":82000,""1102003"":43000,""1102001"":43000,""1102004"":43000}"
3010036,3010035,1,1,1,0,"{""1906001"":[1,4]}","{""1101201"":82000,""1101202"":82000,""1101203"":82000,""1102003"":43000,""1102001"":43000,""1102004"":43000}"
3010037,3010036,1,1,1,0,"{""1903001"":[1,4]}","{""1101201"":82000,""1101202"":82000,""1101203"":82000,""1102003"":43000,""1102001"":43000,""1102004"":43000}"
3010038,3010037,1,1,1,0,"{""1907001"":[1,4]}","{""1101201"":82000,""1101202"":82000,""1101203"":82000,""1102003"":43000,""1102001"":43000,""1102004"":43000}"
3010039,3010038,1,1,1,0,"{""1909001"":[1,4]}","{""1101201"":82000,""1101202"":82000,""1101203"":82000,""1102003"":43000,""1102001"":43000,""1102004"":43000}"
3010040,3010039,1,1,1,0,"{""1904001"":[1,4]}","{""1101201"":82000,""1101202"":82000,""1101203"":82000,""1102003"":43000,""1102001"":43000,""1102004"":43000}"
