task_id,task_class,task_city,task_class_1,task_type,task_group,task_level,accumulation,task_need,task_reward,task_reward_resource
3020001,"[1,30]",2,2,2,1,1,1,"{""1101001"":[100000]}",{},"{""1101201"":4200,""1101202"":4200,""1101203"":4200,""1102003"":2500,""1102001"":2500,""1102004"":2500}"
3020002,"[1,30]",2,2,2,1,2,1,"{""1101001"":[1000000]}",{},"{""1101201"":4200,""1101202"":4200,""1101203"":4200,""1102003"":2500,""1102001"":2500,""1102004"":2500}"
3020003,"[1,30]",2,2,2,1,3,1,"{""1101001"":[5000000]}",{},"{""1101201"":4200,""1101202"":4200,""1101203"":4200,""1102003"":2500,""1102001"":2500,""1102004"":2500}"
3020004,"[1,30]",2,2,2,1,4,1,"{""1101001"":[10000000]}",{},"{""1101201"":4200,""1101202"":4200,""1101203"":4200,""1102003"":2500,""1102001"":2500,""1102004"":2500}"
3020005,"[1,30]",2,2,2,2,1,1,"{""1101002"":[100000]}",{},"{""1101201"":4200,""1101202"":4200,""1101203"":4200,""1102003"":2500,""1102001"":2500,""1102004"":2500}"
3020006,"[1,30]",2,2,2,2,2,1,"{""1101002"":[1000000]}",{},"{""1101201"":4200,""1101202"":4200,""1101203"":4200,""1102003"":2500,""1102001"":2500,""1102004"":2500}"
3020007,"[1,30]",2,2,2,2,3,1,"{""1101002"":[5000000]}",{},"{""1101201"":4200,""1101202"":4200,""1101203"":4200,""1102003"":2500,""1102001"":2500,""1102004"":2500}"
3020008,"[1,30]",2,2,2,2,4,1,"{""1101002"":[10000000]}",{},"{""1101201"":4200,""1101202"":4200,""1101203"":4200,""1102003"":2500,""1102001"":2500,""1102004"":2500}"
3020009,"[1,30]",2,2,2,4,1,1,"{""1101003"":[100000]}",{},"{""1101201"":4200,""1101202"":4200,""1101203"":4200,""1102003"":2500,""1102001"":2500,""1102004"":2500}"
3020010,"[1,30]",2,2,2,4,2,1,"{""1101003"":[1000000]}",{},"{""1101201"":4200,""1101202"":4200,""1101203"":4200,""1102003"":2500,""1102001"":2500,""1102004"":2500}"
3020011,"[1,30]",2,2,2,4,3,1,"{""1101003"":[5000000]}",{},"{""1101201"":4200,""1101202"":4200,""1101203"":4200,""1102003"":2500,""1102001"":2500,""1102004"":2500}"
3020012,"[1,30]",2,2,2,4,4,1,"{""1101003"":[10000000]}",{},"{""1101201"":4200,""1101202"":4200,""1101203"":4200,""1102003"":2500,""1102001"":2500,""1102004"":2500}"
3020013,"[1,30]",2,2,2,5,1,1,"{""1102003"":[2500]}",{},"{""1101201"":4200,""1101202"":4200,""1101203"":4200,""1102003"":2500,""1102001"":2500,""1102004"":2500}"
3020014,"[1,30]",2,2,2,5,2,1,"{""1102003"":[250000]}",{},"{""1101201"":4200,""1101202"":4200,""1101203"":4200,""1102003"":2500,""1102001"":2500,""1102004"":2500}"
3020015,"[1,30]",2,2,2,5,3,1,"{""1102003"":[1250000]}",{},"{""1101201"":4200,""1101202"":4200,""1101203"":4200,""1102003"":2500,""1102001"":2500,""1102004"":2500}"
3020016,"[1,30]",2,2,2,5,4,1,"{""1102003"":[2500000]}",{},"{""1101201"":4200,""1101202"":4200,""1101203"":4200,""1102003"":2500,""1102001"":2500,""1102004"":2500}"
3020017,"[1,30]",2,2,2,6,1,1,"{""1102001"":[2500]}",{},"{""1101201"":4200,""1101202"":4200,""1101203"":4200,""1102003"":2500,""1102001"":2500,""1102004"":2500}"
3020018,"[1,30]",2,2,2,6,2,1,"{""1102001"":[250000]}",{},"{""1101201"":4200,""1101202"":4200,""1101203"":4200,""1102003"":2500,""1102001"":2500,""1102004"":2500}"
3020019,"[1,30]",2,2,2,6,3,1,"{""1102001"":[1250000]}",{},"{""1101201"":4200,""1101202"":4200,""1101203"":4200,""1102003"":2500,""1102001"":2500,""1102004"":2500}"
3020020,"[1,30]",2,2,2,6,4,1,"{""1102001"":[2500000]}",{},"{""1101201"":4200,""1101202"":4200,""1101203"":4200,""1102003"":2500,""1102001"":2500,""1102004"":2500}"
3020021,"[1,30]",2,2,2,7,1,1,"{""1102004"":[2500]}",{},"{""1101201"":4200,""1101202"":4200,""1101203"":4200,""1102003"":2500,""1102001"":2500,""1102004"":2500}"
3020022,"[1,30]",2,2,2,7,2,1,"{""1102004"":[250000]}",{},"{""1101201"":4200,""1101202"":4200,""1101203"":4200,""1102003"":2500,""1102001"":2500,""1102004"":2500}"
3020023,"[1,30]",2,2,2,7,3,1,"{""1102004"":[1250000]}",{},"{""1101201"":4200,""1101202"":4200,""1101203"":4200,""1102003"":2500,""1102001"":2500,""1102004"":2500}"
3020024,"[1,30]",2,2,2,7,4,1,"{""1102004"":[2500000]}",{},"{""1101201"":4200,""1101202"":4200,""1101203"":4200,""1102003"":2500,""1102001"":2500,""1102004"":2500}"
5700001,"[5,5]",2,4,7,0,1,1,"{""5710001"":[12000]}",{},{}
5700002,"[6,6]",2,4,7,0,1,1,"{""5710001"":[12000]}",{},{}
5700003,"[7,7]",2,4,7,0,1,1,"{""5710001"":[18000]}",{},{}
5700004,"[8,8]",2,4,7,0,1,1,"{""5710001"":[18000]}",{},{}
5700005,"[9,9]",2,4,7,0,1,1,"{""5710001"":[18000]}",{},{}
5700006,"[10,10]",2,4,7,0,1,1,"{""5710001"":[24000]}",{},{}
5700007,"[11,11]",2,4,7,0,1,1,"{""5710001"":[24000]}",{},{}
5700008,"[12,12]",2,4,7,0,1,1,"{""5710001"":[24000]}",{},{}
5700009,"[13,13]",2,4,7,0,1,1,"{""5710001"":[28000]}",{},{}
5700010,"[14,14]",2,4,7,0,1,1,"{""5710001"":[28000]}",{},{}
5700011,"[15,15]",2,4,7,0,1,1,"{""5710001"":[29000]}",{},{}
5700012,"[16,16]",2,4,7,0,1,1,"{""5710001"":[33000]}",{},{}
5700013,"[17,17]",2,4,7,0,1,1,"{""5710001"":[33000]}",{},{}
5700014,"[18,18]",2,4,7,0,1,1,"{""5710001"":[34000]}",{},{}
5700015,"[19,19]",2,4,7,0,1,1,"{""5710001"":[40000]}",{},{}
5700016,"[20,20]",2,4,7,0,1,1,"{""5710001"":[41000]}",{},{}
5700017,"[21,21]",2,4,7,0,1,1,"{""5710001"":[41000]}",{},{}
5700018,"[22,22]",2,4,7,0,1,1,"{""5710001"":[50000]}",{},{}
5700019,"[23,23]",2,4,7,0,1,1,"{""5710001"":[51000]}",{},{}
5700020,"[24,24]",2,4,7,0,1,1,"{""5710001"":[51000]}",{},{}
5700021,"[25,25]",2,4,7,0,1,1,"{""5710001"":[60000]}",{},{}
5700022,"[26,26]",2,4,7,0,1,1,"{""5710001"":[61000]}",{},{}
5700023,"[27,27]",2,4,7,0,1,1,"{""5710001"":[62000]}",{},{}
5700024,"[28,28]",2,4,7,0,1,1,"{""5710001"":[75000]}",{},{}
5700025,"[29,29]",2,4,7,0,1,1,"{""5710001"":[76000]}",{},{}
5700026,"[30,30]",2,4,7,0,1,1,"{""5710001"":[77000]}",{},{}
5700027,"[5,5]",2,4,8,0,1,1,"{""5710002"":[1400]}",{},{}
5700028,"[6,6]",2,4,8,0,1,1,"{""5710002"":[1500]}",{},{}
5700029,"[7,7]",2,4,8,0,1,1,"{""5710002"":[1600]}",{},{}
