id,type,blockindex,buildingid,techid,tileid,resourceid,itemid
1,1,9,1906001,0,0,0,0
2,1,10,1903001,0,0,0,0
3,2,16,1901001,0,0,0,0
4,2,15,1907001,0,0,0,0
5,2,16,1901001,0,0,0,0
6,2,15,1907001,0,0,0,0
7,2,16,1901001,0,0,0,0
8,2,15,1907001,0,0,0,0
9,2,16,1901001,0,0,0,0
10,2,15,1907001,0,0,0,0
11,2,16,1901001,0,0,0,0
12,2,15,1907001,0,0,0,0
13,2,16,1901001,0,0,0,0
14,2,15,1907001,0,0,0,0
15,2,16,1901001,0,0,0,0
16,2,15,1907001,0,0,0,0
17,2,16,1901001,0,0,0,0
18,2,15,1907001,0,0,0,0
19,2,16,1901001,0,0,0,0
20,2,15,1907001,0,0,0,0
21,2,16,1901001,0,0,0,0
22,2,15,1907001,0,0,0,0
23,2,16,1901001,0,0,0,0
24,2,15,1907001,0,0,0,0
25,2,16,1901001,0,0,0,0
26,2,15,1907001,0,0,0,0
27,2,16,1901001,0,0,0,0
28,2,15,1907001,0,0,0,0
29,2,16,1901001,0,0,0,0
30,2,15,1907001,0,0,0,0
31,2,16,1901001,0,0,0,0
32,2,15,1907001,0,0,0,0
33,2,16,1901001,0,0,0,0
34,2,15,1907001,0,0,0,0
35,2,16,1901001,0,0,0,0
36,2,15,1907001,0,0,0,0
37,2,16,1901001,0,0,0,0
38,2,15,1907001,0,0,0,0
39,2,16,1901001,0,0,0,0
40,2,15,1907001,0,0,0,0
41,2,16,1901001,0,0,0,0
42,2,15,1907001,0,0,0,0
43,2,16,1901001,0,0,0,0
44,2,15,1907001,0,0,0,0
45,2,16,1901001,0,0,0,0
46,2,15,1907001,0,0,0,0
47,2,16,1901001,0,0,0,0
48,2,15,1907001,0,0,0,0
49,2,16,1901001,0,0,0,0
50,2,15,1907001,0,0,0,0
51,2,16,1901001,0,0,0,0
52,2,15,1907001,0,0,0,0
53,2,16,1901001,0,0,0,0
54,2,15,1907001,0,0,0,0
55,2,16,1901001,0,0,0,0
56,2,15,1907001,0,0,0,0
57,2,16,1901001,0,0,0,0
58,2,15,1907001,0,0,0,0
59,2,16,1901001,0,0,0,0
60,2,15,1907001,0,0,0,0
61,2,18,1913001,0,0,0,0
62,2,18,1913001,0,0,0,0
63,2,18,1913001,0,0,0,0
64,2,18,1913001,0,0,0,0
65,2,18,1913001,0,0,0,0
66,2,18,1913001,0,0,0,0
67,2,18,1913001,0,0,0,0
68,2,18,1913001,0,0,0,0
69,2,18,1913001,0,0,0,0
70,2,18,1913001,0,0,0,0
71,2,18,1913001,0,0,0,0
72,2,18,1913001,0,0,0,0
73,2,18,1913001,0,0,0,0
74,2,18,1913001,0,0,0,0
75,2,18,1913001,0,0,0,0
76,2,18,1913001,0,0,0,0
77,2,18,1913001,0,0,0,0
78,2,18,1913001,0,0,0,0
79,2,18,1913001,0,0,0,0
80,2,18,1913001,0,0,0,0
81,2,18,1913001,0,0,0,0
82,2,18,1913001,0,0,0,0
83,2,18,1913001,0,0,0,0
84,2,18,1913001,0,0,0,0
85,2,18,1913001,0,0,0,0
86,2,18,1913001,0,0,0,0
87,2,18,1913001,0,0,0,0
88,2,18,1913001,0,0,0,0
89,2,18,1913001,0,0,0,0
90,2,19,1913002,0,0,0,0
91,2,19,1913002,0,0,0,0
92,2,19,1913002,0,0,0,0
93,2,19,1913002,0,0,0,0
94,2,19,1913002,0,0,0,0
95,2,19,1913002,0,0,0,0
96,2,19,1913002,0,0,0,0
97,2,19,1913002,0,0,0,0
98,2,19,1913002,0,0,0,0
99,2,19,1913002,0,0,0,0
100,2,19,1913002,0,0,0,0
101,2,19,1913002,0,0,0,0
102,2,19,1913002,0,0,0,0
103,2,19,1913002,0,0,0,0
104,2,19,1913002,0,0,0,0
105,2,19,1913002,0,0,0,0
106,2,19,1913002,0,0,0,0
107,2,19,1913002,0,0,0,0
108,2,19,1913002,0,0,0,0
109,2,19,1913002,0,0,0,0
110,2,19,1913002,0,0,0,0
111,2,19,1913002,0,0,0,0
112,2,19,1913002,0,0,0,0
113,2,19,1913002,0,0,0,0
114,2,19,1913002,0,0,0,0
115,2,19,1913002,0,0,0,0
116,2,19,1913002,0,0,0,0
117,2,19,1913002,0,0,0,0
118,2,19,1913002,0,0,0,0
119,2,9,1906001,0,0,0,0
120,2,9,1906001,0,0,0,0
121,2,9,1906001,0,0,0,0
122,2,9,1906001,0,0,0,0
123,2,9,1906001,0,0,0,0
124,2,9,1906001,0,0,0,0
125,2,9,1906001,0,0,0,0
126,2,9,1906001,0,0,0,0
127,2,9,1906001,0,0,0,0
128,2,10,1903001,0,0,0,0
129,2,10,1903001,0,0,0,0
130,2,10,1903001,0,0,0,0
131,2,10,1903001,0,0,0,0
132,2,10,1903001,0,0,0,0
133,2,10,1903001,0,0,0,0
134,2,10,1903001,0,0,0,0
135,2,10,1903001,0,0,0,0
136,2,10,1903001,0,0,0,0
137,3,0,0,1301001,0,0,0
138,3,0,0,1301001,0,0,0
139,3,0,0,1301001,0,0,0
140,3,0,0,1301001,0,0,0
141,3,0,0,1301001,0,0,0
142,3,0,0,1301001,0,0,0
143,3,0,0,1301001,0,0,0
144,3,0,0,1301001,0,0,0
145,3,0,0,1301001,0,0,0
146,3,0,0,1301001,0,0,0
147,3,0,0,1301002,0,0,0
148,3,0,0,1301002,0,0,0
149,3,0,0,1301002,0,0,0
150,3,0,0,1301002,0,0,0
151,3,0,0,1301002,0,0,0
152,3,0,0,1301002,0,0,0
153,3,0,0,1301002,0,0,0
154,3,0,0,1301002,0,0,0
155,3,0,0,1301002,0,0,0
156,3,0,0,1301002,0,0,0
157,3,0,0,1301003,0,0,0
158,3,0,0,1301003,0,0,0
159,3,0,0,1301003,0,0,0
160,3,0,0,1301003,0,0,0
161,3,0,0,1301003,0,0,0
162,3,0,0,1301003,0,0,0
163,3,0,0,1301003,0,0,0
164,3,0,0,1301003,0,0,0
165,3,0,0,1301003,0,0,0
166,3,0,0,1301003,0,0,0
167,3,0,0,1301004,0,0,0
168,3,0,0,1301004,0,0,0
169,3,0,0,1301004,0,0,0
170,3,0,0,1301004,0,0,0
171,3,0,0,1301004,0,0,0
172,3,0,0,1301004,0,0,0
173,3,0,0,1301004,0,0,0
174,3,0,0,1301004,0,0,0
175,3,0,0,1301004,0,0,0
176,3,0,0,1301004,0,0,0
177,3,0,0,1301005,0,0,0
178,3,0,0,1301005,0,0,0
179,3,0,0,1301005,0,0,0
180,3,0,0,1301005,0,0,0
181,3,0,0,1301005,0,0,0
182,3,0,0,1301005,0,0,0
183,3,0,0,1301005,0,0,0
184,3,0,0,1301005,0,0,0
185,3,0,0,1301005,0,0,0
186,3,0,0,1301005,0,0,0
187,3,0,0,1301006,0,0,0
188,3,0,0,1301006,0,0,0
189,3,0,0,1301006,0,0,0
190,3,0,0,1301006,0,0,0
191,3,0,0,1301006,0,0,0
192,3,0,0,1301006,0,0,0
193,3,0,0,1301006,0,0,0
194,3,0,0,1301006,0,0,0
195,3,0,0,1301006,0,0,0
196,3,0,0,1301006,0,0,0
197,3,0,0,1301007,0,0,0
198,3,0,0,1301007,0,0,0
199,3,0,0,1301007,0,0,0
200,3,0,0,1301007,0,0,0
201,3,0,0,1301007,0,0,0
202,3,0,0,1301007,0,0,0
203,3,0,0,1301007,0,0,0
204,3,0,0,1301007,0,0,0
205,3,0,0,1301007,0,0,0
206,3,0,0,1301007,0,0,0
207,4,0,0,0,0,0,0
208,5,0,0,0,0,0,0
