vip_level,vip_buff,immigrant_limit,vip_id,vip_time,dungeon_resource,search_time,vip_exp
0,0,0,2300001,0,0,0,0
1,0.1,0,2300001,5,0,30,1000
2,0.1,0,2300002,10,1,29,2000
3,0.1,0,2300003,15,2,28,3000
4,0.1,0,2300004,20,3,27,4000
5,0.1,0,2300005,25,4,26,5000
6,0.1,0,2300006,30,5,25,6000
7,0.2,0,2300007,35,6,24,7000
8,0.3,0,2300008,40,7,23,8000
9,1,1,2300009,45,8,22,9000
10,1.05,1,2300010,50,9,21,10000
11,1.1,2,2300011,55,10,20,11000
12,1.15,2,2300012,60,11,19,12000
13,1.2,4,2300013,65,12,18,13000
14,1.25,99999,2300014,70,13,17,14000
15,1.25,99999,2300015,75,14,16,15000
16,1.25,99999,2300016,80,15,15,16000
17,1.25,99999,2300017,85,16,14,17000
18,1.25,99999,2300018,90,17,13,18000
19,1.25,99999,2300019,95,18,12,19000
