level,displayLevel,name,taxRatio,taxExtra,immediatePrice,immediateDiscount,autoUpgradeCount,largeGiftBoxPrice,sharedRechargeEnabled
100,1,平民,0,0,0,1,6,-1,0
200,2,公民,0.025,0,20000,1,6,-1,0
500,3,百夫长,0.05,0,50000,1,6,-1,0
1000,4,营地长,0.075,0,100000,0.95,5,-1,0
2000,5,保民官,0.1,0,200000,0.9,5,-1,0
5000,6,营造官,0.125,0,500000,0.85,5,-1,0
10000,7,行政官,0.15,0,1000000,0.8,4,-1,0
20000,8,监察官,0.175,0,2000000,0.75,4,-1,0
50000,9,市政官,0.2,0,5000000,0.7,4,7500000,1
100000,10,裁判官,0.25,0,10000000,0.65,3,15000000,1
200000,11,卫戍队队长,0.3,0,20000000,0.6,3,30000000,1
300000,12,大法官,0.35,0,30000000,0.55,3,45000000,1
500000,13,军团长,0.4,0,50000000,0.5,3,75000000,1
1000000,14,执政军团长,0.45,0,100000000,0.45,3,150000000,1
2000000,15,总督,0.5,0,-1,0.45,3,-1,1
3000000,16,执政官,0.55,0,-1,0.45,3,-1,1
5000000,17,独裁官,0.6,0,-1,0.45,3,-1,1
10000000,18,大祭司,0.65,0,-1,0.45,3,-1,1
20000000,19,元老,0.7,1,-1,0.45,3,-1,1
